Department_Name,Compliance_Requirements,Created_At,Created_By,Critical_Systems,Data_Classification,Department_ID,Department_Type,Description,Export_Format,Function_Area,Mapped_to_Functions,Mapped_to_Roles,Migration_Ready,Roles,Unique_ID,Updated_At,Updated_By,🏫 Functions
Biostatistics,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-11,,"Statistical analysis plans, sample size calculations, and clinical study reports",,,FUNC-002,"ROLE-030, ROLE-031, ROLE-032, ROLE-033",No,"Head of Biostatistics (https://www.notion.so/Head-of-Biostatistics-2753dedf985681e4b788c8d795098d86?pvs=21), Principal Biostatistician (https://www.notion.so/Principal-Biostatistician-2753dedf9856812fbf61ee52795949d4?pvs=21), Statistical Programmer (https://www.notion.so/Statistical-Programmer-2753dedf98568152b3bfecb45d18a7c3?pvs=21), SAS Programmer (https://www.notion.so/SAS-Programmer-2753dedf9856814abae6f2f241ebda4b?pvs=21)",DEPT-007,"September 21, 2025 4:41 PM",Hicham Naim,Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681abb32ce2905afa34f7?pvs=21)
Global Regulatory,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-12,,"Regulatory strategy, submissions (IND/NDA/MAA), and health authority interactions",,,FUNC-003,"ROLE-034, ROLE-035, ROLE-036, ROLE-037",No,"VP Regulatory Affairs (https://www.notion.so/VP-Regulatory-Affairs-2753dedf985681aeb492cbdc6a39e9f9?pvs=21), Regulatory Strategy Director (https://www.notion.so/Regulatory-Strategy-Director-2753dedf98568112893bdb1845f27c44?pvs=21), Regulatory Affairs Manager (https://www.notion.so/Regulatory-Affairs-Manager-2753dedf985681c99b62cd4cdf00e4d1?pvs=21), Regulatory Writer (https://www.notion.so/Regulatory-Writer-2753dedf98568133ad7ff06a03e8ff37?pvs=21)",DEPT-008,"September 21, 2025 4:41 PM",Hicham Naim,Regulatory Affairs (https://www.notion.so/Regulatory-Affairs-2753dedf9856812abb3ef2fd0af54a35?pvs=21)
Regulatory CMC,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-13,,"Chemistry, manufacturing, and controls regulatory documentation and compliance",,,FUNC-003,"ROLE-038, ROLE-039, ROLE-040",No,"CMC Regulatory Head (https://www.notion.so/CMC-Regulatory-Head-2753dedf98568133a478c265f95a9251?pvs=21), CMC Regulatory Manager (https://www.notion.so/CMC-Regulatory-Manager-2753dedf985681ecbf3bdf9be0c0f515?pvs=21), Technical Writer (https://www.notion.so/Technical-Writer-2753dedf985681c18eabd03d41d33ef2?pvs=21)",DEPT-009,"September 21, 2025 4:41 PM",Hicham Naim,Regulatory Affairs (https://www.notion.so/Regulatory-Affairs-2753dedf9856812abb3ef2fd0af54a35?pvs=21)
Regulatory Intelligence,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-14,,"Monitoring regulatory landscape, competitive intelligence, and policy analysis",,,FUNC-003,"ROLE-041, ROLE-042, ROLE-043",No,"Regulatory Intelligence Lead (https://www.notion.so/Regulatory-Intelligence-Lead-2753dedf9856812aae69c394d38eec9d?pvs=21), Intelligence Analyst (https://www.notion.so/Intelligence-Analyst-2753dedf985681cb8b75e36f2f0bb522?pvs=21), Policy Analyst (https://www.notion.so/Policy-Analyst-2753dedf985681f9a3caf3ea388fa5c1?pvs=21)",DEPT-010,"September 21, 2025 4:40 PM",Hicham Naim,Regulatory Affairs (https://www.notion.so/Regulatory-Affairs-2753dedf9856812abb3ef2fd0af54a35?pvs=21)
Drug Substance,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-15,,"API manufacturing, process development, scale-up, and technology transfer",,,FUNC-004,"ROLE-044, ROLE-045, ROLE-046, ROLE-047",No,"Head of API Manufacturing (https://www.notion.so/Head-of-API-Manufacturing-2753dedf985681cc846cf2509083cc41?pvs=21), Process Engineer (https://www.notion.so/Process-Engineer-2753dedf985681df83ecc83a69633f72?pvs=21), Production Manager (https://www.notion.so/Production-Manager-2753dedf98568168a363cf7311e938e7?pvs=21), Process Development Scientist (https://www.notion.so/Process-Development-Scientist-2753dedf985681ebbcf6dbad64cea3aa?pvs=21)",DEPT-011,"September 21, 2025 4:40 PM",Hicham Naim,Manufacturing (https://www.notion.so/Manufacturing-2753dedf98568143b8aae54ed6653b0b?pvs=21)
Drug Product,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-16,,"Formulation development, packaging, stability studies, and analytical development",,,FUNC-004,"ROLE-048, ROLE-049, ROLE-050, ROLE-051",No,"Head of Formulation (https://www.notion.so/Head-of-Formulation-2753dedf98568143bfc4f4ae3b77d4f1?pvs=21), Formulation Scientist (https://www.notion.so/Formulation-Scientist-2753dedf9856810ca1eddfe39ad733a4?pvs=21), Packaging Engineer (https://www.notion.so/Packaging-Engineer-2753dedf985681c7a0b5c9e2d551eef1?pvs=21), Analytical Scientist (https://www.notion.so/Analytical-Scientist-2753dedf985681759262ed950b15cf02?pvs=21)",DEPT-012,"September 21, 2025 4:40 PM",Hicham Naim,Manufacturing (https://www.notion.so/Manufacturing-2753dedf98568143b8aae54ed6653b0b?pvs=21)
Supply Chain,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-17,,"Demand planning, supply planning, distribution, and cold chain management",,,FUNC-004,"ROLE-052, ROLE-053, ROLE-054, ROLE-055",No,"Supply Chain Director (https://www.notion.so/Supply-Chain-Director-2753dedf985681099609da726c66a304?pvs=21), Demand Planner (https://www.notion.so/Demand-Planner-2753dedf985681d797f2e0017ea7d9a3?pvs=21), Supply Planner (https://www.notion.so/Supply-Planner-2753dedf9856814c8dcbff50c745e30f?pvs=21), Logistics Manager (https://www.notion.so/Logistics-Manager-2753dedf985681bc818dc68e5f804f81?pvs=21)",DEPT-013,"September 21, 2025 4:40 PM",Hicham Naim,Manufacturing (https://www.notion.so/Manufacturing-2753dedf98568143b8aae54ed6653b0b?pvs=21)
Quality Assurance,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-18,,"Quality systems, SOP management, validation, audits, and CAPA management",,,FUNC-005,"ROLE-056, ROLE-057, ROLE-058, ROLE-059",No,"VP Quality (https://www.notion.so/VP-Quality-2753dedf98568185856fe1687c783e6d?pvs=21), QA Director (https://www.notion.so/QA-Director-2753dedf9856810caa2ed671755ce178?pvs=21), QA Manager (https://www.notion.so/QA-Manager-2753dedf985681d89258d803d4917855?pvs=21), Validation Specialist (https://www.notion.so/Validation-Specialist-2753dedf985681f6a2e4cea5667a1ee8?pvs=21)",DEPT-014,"September 21, 2025 4:40 PM",Hicham Naim,Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
Quality Control,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-19,,"Release testing, raw material testing, environmental monitoring, and stability testing",,,FUNC-005,"ROLE-060, ROLE-061, ROLE-062, ROLE-063",No,"QC Director (https://www.notion.so/QC-Director-2753dedf985681e09c3ff5eacf0565a9?pvs=21), QC Lab Manager (https://www.notion.so/QC-Lab-Manager-2753dedf985681c9aeeaf839e34f00fc?pvs=21), QC Analyst (https://www.notion.so/QC-Analyst-2753dedf985681bc9a2bc42b4a13108f?pvs=21), Microbiologist (https://www.notion.so/Microbiologist-2753dedf9856816a819beec81db1e9b4?pvs=21)",DEPT-015,"September 21, 2025 4:40 PM",Hicham Naim,Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
Quality Compliance,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-20,,"GxP compliance, data integrity, computer validation, and inspection readiness",,,FUNC-005,"ROLE-064, ROLE-065, ROLE-066",No,"Compliance Director (https://www.notion.so/Compliance-Director-2753dedf9856814fa351ede1298b594b?pvs=21), Compliance Manager (https://www.notion.so/Compliance-Manager-2753dedf9856810b8329cea3cc206f09?pvs=21), Data Integrity Specialist (https://www.notion.so/Data-Integrity-Specialist-2753dedf985681a1a565cf69cd2aea1a?pvs=21)",DEPT-016,"September 21, 2025 4:40 PM",Hicham Naim,Quality (https://www.notion.so/Quality-2753dedf9856817c8d4eeaf91c705fc7?pvs=21)
Medical Science Liaisons,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-21,,"KOL engagement, scientific exchange, advisory boards, and field medical activities",,,FUNC-006,"ROLE-067, ROLE-068, ROLE-069",No,"MSL Director (https://www.notion.so/MSL-Director-2753dedf9856816aac50d0c963fceb3b?pvs=21), Senior MSL (https://www.notion.so/Senior-MSL-2753dedf985681e49e41d2ec4f198c70?pvs=21), Regional MSL (https://www.notion.so/Regional-MSL-2753dedf9856814fa632cee076b237bb?pvs=21)",DEPT-017,"September 21, 2025 4:40 PM",Hicham Naim,Medical Affairs (https://www.notion.so/Medical-Affairs-2753dedf98568199b005d55c03e05a2e?pvs=21)
Medical Information,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-22,,"Response to medical inquiries, literature services, and standard response documents",,,FUNC-006,"ROLE-070, ROLE-071, ROLE-072",No,"Medical Information Manager (https://www.notion.so/Medical-Information-Manager-2753dedf9856814890d8cfc27517d4f2?pvs=21), Medical Information Specialist (https://www.notion.so/Medical-Information-Specialist-2753dedf98568196b94acd879b1bc937?pvs=21), Medical Writer (https://www.notion.so/Medical-Writer-2753dedf985681e39905d64d35b841ca?pvs=21)",DEPT-018,"September 21, 2025 4:40 PM",Hicham Naim,Medical Affairs (https://www.notion.so/Medical-Affairs-2753dedf98568199b005d55c03e05a2e?pvs=21)
Medical Communications,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-23,,"Publication planning, congress management, medical education, and digital content",,,FUNC-006,"ROLE-073, ROLE-074, ROLE-075",No,"Medical Communications Director (https://www.notion.so/Medical-Communications-Director-2753dedf985681a8aa3aef6eed5ad5bd?pvs=21), Publication Manager (https://www.notion.so/Publication-Manager-2753dedf9856818aace2e78cbdc5b54b?pvs=21), Congress Manager (https://www.notion.so/Congress-Manager-2753dedf985681469b4fe57acc719c05?pvs=21)",DEPT-019,"September 21, 2025 4:40 PM",Hicham Naim,Medical Affairs (https://www.notion.so/Medical-Affairs-2753dedf98568199b005d55c03e05a2e?pvs=21)
Drug Safety,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-24,,"Adverse event processing, signal detection, safety database management, and reporting",,,FUNC-007,"ROLE-076, ROLE-077, ROLE-078, ROLE-079",No,"Chief Safety Officer (https://www.notion.so/Chief-Safety-Officer-2753dedf985681aaa286dbe7aacfc6c9?pvs=21), Pharmacovigilance Director (https://www.notion.so/Pharmacovigilance-Director-2753dedf98568169b5c4ef14bf6fa5dd?pvs=21), Drug Safety Scientist (https://www.notion.so/Drug-Safety-Scientist-2753dedf985681aebc97c4fde02fc566?pvs=21), Safety Physician (https://www.notion.so/Safety-Physician-2753dedf98568184a64de4151d2fbc64?pvs=21)",DEPT-020,"September 21, 2025 4:40 PM",Hicham Naim,Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
Risk Management,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-25,,"Risk management plans, REMS development, risk minimization, and safety communications",,,FUNC-007,"ROLE-080, ROLE-081, ROLE-082",No,"Risk Management Director (https://www.notion.so/Risk-Management-Director-2753dedf985681149839c72c17077c73?pvs=21), Risk Management Scientist (https://www.notion.so/Risk-Management-Scientist-2753dedf98568145aab4d3618621eab6?pvs=21), REMS Specialist (https://www.notion.so/REMS-Specialist-2753dedf9856819e9afbf6eb5f841a98?pvs=21)",DEPT-021,"September 21, 2025 4:40 PM",Hicham Naim,Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
Epidemiology,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-26,,"Real-world evidence studies, observational research, and post-marketing surveillance",,,FUNC-007,"ROLE-083, ROLE-084, ROLE-085",No,"Head of Epidemiology (https://www.notion.so/Head-of-Epidemiology-2753dedf985681a184c2e00d5a26a4e9?pvs=21), Epidemiologist (https://www.notion.so/Epidemiologist-2753dedf985681ad904bcc6d11bd68e9?pvs=21), Real-World Evidence Scientist (https://www.notion.so/Real-World-Evidence-Scientist-2753dedf985681c19567fa49a73359f5?pvs=21)",DEPT-022,"September 21, 2025 4:40 PM",Hicham Naim,Pharmacovigilance (https://www.notion.so/Pharmacovigilance-2753dedf98568122a714e1c05ddaa14e?pvs=21)
Marketing,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-27,,"Brand strategy, launch planning, promotional materials, and digital marketing",,,FUNC-008,"ROLE-086, ROLE-087, ROLE-088, ROLE-089, ROLE-090",No,"VP Marketing (https://www.notion.so/VP-Marketing-2753dedf985681c89f63e00cd03cb0c4?pvs=21), Brand Director (https://www.notion.so/Brand-Director-2753dedf985681fcb32bf38b343d43ba?pvs=21), Product Manager (https://www.notion.so/Product-Manager-2753dedf985681379e04ff45145a1179?pvs=21), Marketing Manager (https://www.notion.so/Marketing-Manager-2753dedf98568170b89bf1cd5df52874?pvs=21), Digital Marketing Specialist (https://www.notion.so/Digital-Marketing-Specialist-2753dedf985681aba492cfd9f60fb3d4?pvs=21)",DEPT-023,"September 21, 2025 4:40 PM",Hicham Naim,Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
Sales,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-28,,"Field sales force, territory management, key account management, and sales training",,,FUNC-008,"ROLE-091, ROLE-092, ROLE-093, ROLE-094",No,"VP Sales (https://www.notion.so/VP-Sales-2753dedf985681a98618c351c897d184?pvs=21), National Sales Director (https://www.notion.so/National-Sales-Director-2753dedf985681dfb9d6ce8b9c60a2e1?pvs=21), Regional Sales Manager (https://www.notion.so/Regional-Sales-Manager-2753dedf9856811e8a88e76575f7d805?pvs=21), Territory Manager (https://www.notion.so/Territory-Manager-2753dedf9856819aad93d7e2de4a045b?pvs=21)",DEPT-024,"September 21, 2025 4:40 PM",Hicham Naim,Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
Market Access,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-29,,"Pricing strategy, reimbursement, payer negotiations, and access strategies",,,FUNC-008,"ROLE-095, ROLE-096, ROLE-097, ROLE-098",No,"Market Access Director (https://www.notion.so/Market-Access-Director-2753dedf985681d698d5cb1c3daf4cc4?pvs=21), Pricing Manager (https://www.notion.so/Pricing-Manager-2753dedf9856815ca9f4c8557dd44953?pvs=21), Reimbursement Specialist (https://www.notion.so/Reimbursement-Specialist-2753dedf985681f3bbcad64e71b0cb75?pvs=21), Payer Relations Manager (https://www.notion.so/Payer-Relations-Manager-2753dedf985681d6b58ed2c41c6558f6?pvs=21)",DEPT-025,"September 21, 2025 4:40 PM",Hicham Naim,Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
HEOR,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-30,,"Health economics modeling, outcomes research, HTA submissions, and value demonstration",,,FUNC-008,"ROLE-099, ROLE-100, ROLE-101, ROLE-102",No,"HEOR Director (https://www.notion.so/HEOR-Director-2753dedf98568118823cfb1343b41247?pvs=21), Health Economist (https://www.notion.so/Health-Economist-2753dedf9856818597cad834533345c9?pvs=21), Outcomes Research Scientist (https://www.notion.so/Outcomes-Research-Scientist-2753dedf9856814882ffe8dc93bbcf60?pvs=21), HTA Specialist (https://www.notion.so/HTA-Specialist-2753dedf9856814da0b8e15944b139e8?pvs=21)",DEPT-026,"September 21, 2025 4:40 PM",Hicham Naim,Commercial (https://www.notion.so/Commercial-2753dedf9856816f9983db780558719c?pvs=21)
BD&L,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-31,,"In-licensing, out-licensing, partnerships, M&A evaluation, and deal structuring",,,FUNC-009,"ROLE-103, ROLE-104, ROLE-105, ROLE-106",No,"Chief Business Officer (https://www.notion.so/Chief-Business-Officer-2753dedf9856815a8e97ff55ecacc08b?pvs=21), BD Director (https://www.notion.so/BD-Director-2753dedf985681feae14cf1ce1431bf6?pvs=21), Licensing Manager (https://www.notion.so/Licensing-Manager-2753dedf985681d5b92dce4ee9965667?pvs=21), Alliance Manager (https://www.notion.so/Alliance-Manager-2753dedf985681e99328f9b7962032e3?pvs=21)",DEPT-027,"September 21, 2025 4:40 PM",Hicham Naim,Business Development (https://www.notion.so/Business-Development-2753dedf985681cda353d8d0951c0a47?pvs=21)
Strategic Planning,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-32,,"Corporate strategy, portfolio planning, competitive analysis, and market assessment",,,FUNC-009,"ROLE-107, ROLE-108, ROLE-109",No,"Strategy Director (https://www.notion.so/Strategy-Director-2753dedf985681d28b2bc02e9db14ae1?pvs=21), Strategic Planner (https://www.notion.so/Strategic-Planner-2753dedf985681528040e51a13af1683?pvs=21), Business Analyst (https://www.notion.so/Business-Analyst-2753dedf98568182a6bcec1eb51996a3?pvs=21)",DEPT-028,"September 21, 2025 4:40 PM",Hicham Naim,Business Development (https://www.notion.so/Business-Development-2753dedf985681cda353d8d0951c0a47?pvs=21)
Legal Affairs,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-33,,"Legal counsel, patent strategy, contracts, compliance oversight, and IP protection",,,FUNC-010,"ROLE-110, ROLE-111, ROLE-112, ROLE-113, ROLE-114, ROLE-115",No,"General Counsel (https://www.notion.so/General-Counsel-2753dedf98568121bd73d6ff16bed36f?pvs=21), Patent Attorney (https://www.notion.so/Patent-Attorney-2753dedf985681089314d9ea24a29189?pvs=21), Regulatory Attorney (https://www.notion.so/Regulatory-Attorney-2753dedf985681c89cefe4d55413bcb5?pvs=21), Contract Manager (https://www.notion.so/Contract-Manager-2753dedf9856819989ecdfd4227b92a5?pvs=21), Compliance Lawyer (https://www.notion.so/Compliance-Lawyer-2753dedf9856813fbd7bcb6d70888857?pvs=21), IP Specialist (https://www.notion.so/IP-Specialist-2753dedf98568125a7d1ce95dea3f165?pvs=21)",DEPT-029,"September 21, 2025 4:39 PM",Hicham Naim,Legal (https://www.notion.so/Legal-2753dedf985681dfb537f92ad5ccced5?pvs=21)
Finance & Accounting,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-34,,"Financial planning, budgeting, cost accounting, treasury, and financial reporting",,,FUNC-011,"ROLE-116, ROLE-117, ROLE-118, ROLE-119, ROLE-120",No,"CFO (https://www.notion.so/CFO-2753dedf985681b1a8e0e2947ccd8b0b?pvs=21), Finance Director (https://www.notion.so/Finance-Director-2753dedf9856817fb19bd6d4994c3454?pvs=21), Controller (https://www.notion.so/Controller-2753dedf985681e7bdcef0bbc69b313d?pvs=21), FP&A Manager (https://www.notion.so/FP-A-Manager-2753dedf985681f09d50edcdb12ee705?pvs=21), Cost Accountant (https://www.notion.so/Cost-Accountant-2753dedf9856816093d7dfb8e0862231?pvs=21)",DEPT-030,"September 21, 2025 4:39 PM",Hicham Naim,Finance (https://www.notion.so/Finance-2753dedf98568120b866f8f1e648d809?pvs=21)
Information Technology,,"September 21, 2025 4:22 PM",Hicham Naim,,,VP-DEPT-35,,"IT infrastructure, digital strategy, data analytics, cybersecurity, and system integration",,,FUNC-012,"ROLE-121, ROLE-122, ROLE-123, ROLE-124, ROLE-125, ROLE-126",No,"CIO (https://www.notion.so/CIO-2753dedf985681809011c0e6eac85cd5?pvs=21), IT Director (https://www.notion.so/IT-Director-2753dedf985681819571e0043c743ac7?pvs=21), System Architect (https://www.notion.so/System-Architect-2753dedf985681549b8bfffcb646ac20?pvs=21), Data Scientist (https://www.notion.so/Data-Scientist-2753dedf985681539107c73025fc2e81?pvs=21), Cybersecurity Specialist (https://www.notion.so/Cybersecurity-Specialist-2753dedf985681eebda1e3104e8e67b9?pvs=21), Digital Transformation Lead (https://www.notion.so/Digital-Transformation-Lead-2753dedf9856811c92add937035e8bad?pvs=21)",DEPT-031,"September 21, 2025 4:39 PM",Hicham Naim,IT/Digital (https://www.notion.so/IT-Digital-2753dedf9856813a80c1ed0c9c9461d3?pvs=21)
