measure,location,sex,age,cause,metric,year, DALYs ,upper,lower
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Other neglected tropical diseases,Number,2019," 24,844 ",56448.28637,13886.72678
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Other cardiovascular and circulatory diseases,Number,2019," 24,331 ",31453.51484,18219.77785
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2019," 22,541 ",29849.71078,16585.4517
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Stomach cancer,Number,2019," 22,184 ",27868.15077,17066.82323
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Typhoid and paratyphoid,Number,2019," 21,757 ",42698.83911,9065.276141
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Schistosomiasis,Number,2019," 21,123 ",33237.73886,13599.58618
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Exposure to mechanical forces,Number,2019," 19,880 ",35587.9499,13173.89736
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Other malignant neoplasms,Number,2019," 19,017 ",24896.00363,13434.49057
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Alzheimer's disease and other dementias,Number,2019," 18,967 ",44166.62249,7289.201858
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Sexually transmitted infections excluding HIV,Number,2019," 18,188 ",34841.93215,7926.837513
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Prostate cancer,Number,2019," 17,704 ",23778.21654,11089.1052
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Leukemia,Number,2019," 17,246 ",23857.04155,11526.97118
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Other unspecified infectious diseases,Number,2019," 16,773 ",24603.2434,11018.95496
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Foreign body,Number,2019," 16,649 ",21258.01898,12589.50861
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Schizophrenia,Number,2019," 16,574 ",22264.29008,11581.42069
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Drowning,Number,2019," 16,310 ",24986.54424,10324.55413
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Osteoarthritis,Number,2019," 16,271 ",32529.05989,8266.917851
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,"Fire, heat, and hot substances",Number,2019," 15,992 ",26608.2682,9818.969012
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Bipolar disorder,Number,2019," 15,527 ",24320.56918,9002.012895
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Interpersonal violence,Number,2019," 15,390 ",19980.87175,11065.65383
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Intestinal nematode infections,Number,2019," 15,358 ",23472.01924,9506.05416
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Urinary diseases and male infertility,Number,2019," 15,208 ",23021.1037,10877.46012
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Cardiomyopathy and myocarditis,Number,2019," 14,606 ",19102.70405,10074.50381
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Conduct disorder,Number,2019," 14,484 ",23058.63165,8168.26639
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Colon and rectum cancer,Number,2019," 14,439 ",18602.85205,11000.20327
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Animal contact,Number,2019," 13,086 ",20550.52212,8579.516475
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Adverse effects of medical treatment,Number,2019," 12,868 ",18651.80019,8579.187588
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Dermatitis,Number,2019," 12,610 ",19997.44183,7382.017069
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Other neurological disorders,Number,2019," 12,575 ",20548.37698,6873.057551
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Neck pain,Number,2019," 12,520 ",18112.84974,8185.789173
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Other mental disorders,Number,2019," 12,144 ",18471.37808,7642.201243
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Rheumatic heart disease,Number,2019," 12,090 ",16263.74202,8705.125514
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Acne vulgaris,Number,2019," 11,969 ",19234.173,7045.117848
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Poisonings,Number,2019," 11,464 ",17551.37607,7513.621404
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Drug use disorders,Number,2019," 11,426 ",15362.71563,8097.136213
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Other unintentional injuries,Number,2019," 11,407 ",14924.24725,8246.363059
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Upper respiratory infections,Number,2019," 11,185 ",17140.66246,6944.557841
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Fungal skin diseases,Number,2019," 11,066 ",23202.16823,4449.451544
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Other chronic respiratory diseases,Number,2019," 10,352 ",13446.88492,7620.548622
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Pancreatitis,Number,2019," 10,294 ",16079.76781,6363.295464
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Non-Hodgkin lymphoma,Number,2019," 10,002 ",13763.01425,6903.769311
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Sudden infant death syndrome,Number,2019," 9,970 ",30835.76263,2173.971031
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Viral skin diseases,Number,2019," 9,842 ",14816.73304,6250.369413
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Esophageal cancer,Number,2019," 9,221 ",12496.7999,5128.413594
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Autism spectrum disorders,Number,2019," 9,215 ",13525.27819,5955.405075
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Alcohol use disorders,Number,2019," 8,915 ",12533.11627,6314.812411
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,"Inguinal, femoral, and abdominal hernia",Number,2019," 8,680 ",11491.81945,6361.389858
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Pancreatic cancer,Number,2019," 8,337 ",10589.79639,6409.645061
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Urticaria,Number,2019," 8,048 ",11815.7069,5158.713971
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Brain and central nervous system cancer,Number,2019," 7,696 ",11513.26995,3722.144233
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Other transport injuries,Number,2019," 7,445 ",10159.46585,5070.043941
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Tetanus,Number,2019," 6,776 ",13863.02832,3117.265316
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Other digestive diseases,Number,2019," 6,266 ",9929.977272,3620.39176
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Vitamin A deficiency,Number,2019," 6,125 ",9371.305147,3764.150651
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Bacterial skin diseases,Number,2019," 5,974 ",8033.944349,4090.414336
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Encephalitis,Number,2019," 5,773 ",8120.217924,3681.9734
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Otitis media,Number,2019," 5,539 ",9089.205004,3231.997517
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Acute hepatitis,Number,2019," 5,478 ",12181.26955,2476.255821
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Parkinson's disease,Number,2019," 5,447 ",6587.453342,4490.092846
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Liver cancer,Number,2019," 5,087 ",6566.482936,3704.903987
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Gallbladder and biliary diseases,Number,2019," 4,930 ",6769.441793,3223.687648
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Other skin and subcutaneous diseases,Number,2019," 4,923 ",8932.051256,2371.651134
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Varicella and herpes zoster,Number,2019," 4,865 ",8581.293936,2753.765282
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Atrial fibrillation and flutter,Number,2019," 4,825 ",6078.656339,3767.070016
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Lymphatic filariasis,Number,2019," 4,604 ",8425.355026,2468.146082
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Ovarian cancer,Number,2019," 4,310 ",6386.817907,2659.031441
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Environmental heat and cold exposure,Number,2019," 4,305 ",6280.566607,2727.086871
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Bladder cancer,Number,2019," 4,200 ",5645.872728,2642.950383
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Idiopathic developmental intellectual disability,Number,2019," 4,045 ",7743.070421,1187.06788
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Iodine deficiency,Number,2019," 3,734 ",6216.187425,2064.690746
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Other sense organ diseases,Number,2019," 3,700 ",5702.699656,2252.49922
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Endocarditis,Number,2019," 3,661 ",5380.089209,2420.028623
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Eating disorders,Number,2019," 3,541 ",5323.80209,2156.251355
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Rabies,Number,2019," 3,151 ",6610.274644,1175.987423
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Lip and oral cavity cancer,Number,2019," 3,111 ",4187.607573,2219.212264
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Kidney cancer,Number,2019," 3,059 ",4149.096889,2138.435441
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Scabies,Number,2019," 2,665 ",4293.012881,1445.030411
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Non-rheumatic valvular heart disease,Number,2019," 2,525 ",3406.200554,1726.480675
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Yellow fever,Number,2019," 2,508 ",6810.236067,549.5550992
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Psoriasis,Number,2019," 2,442 ",3281.633572,1682.358309
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Larynx cancer,Number,2019," 2,235 ",2946.75818,1652.906277
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Uterine cancer,Number,2019," 2,233 ",3037.814812,1598.517557
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Aortic aneurysm,Number,2019," 2,159 ",2865.495257,1513.021387
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Other nutritional deficiencies,Number,2019," 2,145 ",4010.428037,1116.669185
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Vascular intestinal disorders,Number,2019," 1,974 ",2997.766123,1151.730447
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Gallbladder and biliary tract cancer,Number,2019," 1,792 ",2568.857379,1304.721705
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Appendicitis,Number,2019," 1,709 ",2574.594308,1066.261024
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Multiple myeloma,Number,2019," 1,539 ",2086.162316,1053.518671
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Inflammatory bowel disease,Number,2019," 1,527 ",2377.995989,910.5900178
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Hodgkin lymphoma,Number,2019," 1,426 ",1977.092837,874.4233605
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Interstitial lung disease and pulmonary sarcoidosis,Number,2019," 1,357 ",1816.201064,895.8829718
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Attention-deficit/hyperactivity disorder,Number,2019," 1,350 ",2387.49645,724.7163495
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Pruritus,Number,2019," 1,235 ",2220.823534,595.4015908
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Gout,Number,2019," 1,198 ",1743.134665,750.7819531
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Rheumatoid arthritis,Number,2019," 1,170 ",1550.039954,849.2335811
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Leishmaniasis,Number,2019," 1,123 ",1887.206834,532.4613766
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Conflict and terrorism,Number,2019," 1,095 ",1687.752926,720.0943302
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Multiple sclerosis,Number,2019," 1,018 ",1389.992623,744.8549428
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Nasopharynx cancer,Number,2019, 945 ,1335.026449,648.7238841
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Malignant skin melanoma,Number,2019, 934 ,1403.967635,597.200087
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Alopecia areata,Number,2019, 922 ,1384.565666,584.920553
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Dengue,Number,2019, 755 ,2092.625901,115.8921356
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Non-melanoma skin cancer,Number,2019, 753 ,1010.143019,453.7912901
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Peripheral artery disease,Number,2019, 747 ,1095.860712,443.0223152
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Other pharynx cancer,Number,2019, 698 ,963.6885356,489.7087773
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Other neoplasms,Number,2019, 619 ,808.4235706,447.1404041
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Thyroid cancer,Number,2019, 603 ,784.5837615,411.0296681
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Other intestinal infectious diseases,Number,2019, 415 ,877.0493212,159.8393649
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Testicular cancer,Number,2019, 406 ,568.3487778,260.0877185
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Mesothelioma,Number,2019, 340 ,515.8326114,216.3382372
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Decubitus ulcer,Number,2019, 268 ,379.4055226,155.9704791
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Motor neuron disease,Number,2019, 217 ,277.9762331,159.424678
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Cysticercosis,Number,2019, 173 ,271.2651159,103.966655
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Executions and police conflict,Number,2019, 172 ,219.6658157,125.7510216
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Pneumoconiosis,Number,2019, 159 ,239.9121451,100.1362017
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Diphtheria,Number,2019, 140 ,288.1927996,54.72344587
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Exposure to forces of nature,Number,2019, 103 ,148.3609726,68.13806703
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Cystic echinococcosis,Number,2019, 102 ,167.6503609,55.91384699
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Trachoma,Number,2019, 98 ,155.8430303,58.72412221
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Leprosy,Number,2019, 59 ,89.59596808,35.85183254
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Onchocerciasis,Number,2019, 56 ,132.3347247,29.41252812
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Acute glomerulonephritis,Number,2019, 29 ,52.03889448,10.23694514
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Chagas disease,Number,2019, -   ,0,0
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,African trypanosomiasis,Number,2019, -   ,0,0
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Food-borne trematodiases,Number,2019, -   ,0,0
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Ebola,Number,2019, -   ,0,0
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Zika virus,Number,2019, -   ,0,0
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,Guinea worm disease,Number,2019, -   ,0,0
