DETAIL:  "supautils" is now a reserved prefix.
function,title,role_name,role_slug,department_name
Market Access,Head of Patient Access - National (Mid-Size),Head of Patient Access,patient-head-of-patient-access,Patient Access & Services
Market Access,Head of Patient Access - National (Rare Disease),Head of Patient Access,patient-head-of-patient-access,Patient Access & Services
Market Access,Head of Patient Access - National (Specialty),Head of Patient Access,patient-head-of-patient-access,Patient Access & Services
Market Access,Head of Payer Relations - National (Launch),Head of Payer Relations,payer-head-of-payer-relations,Payer Relations & Contracting
Market Access,Head of Payer Relations - National (Operational),Head of Payer Relations,payer-head-of-payer-relations,Payer Relations & Contracting
Market Access,Head of Payer Relations - National (Specialty),Head of Payer Relations,payer-head-of-payer-relations,Payer Relations & Contracting
Market Access,Head of Payer Relations - National (Strategic),Head of Payer Relations,payer-head-of-payer-relations,Payer Relations & Contracting
Market Access,Head of Pricing Strategy - Global (Launch Focus),Head of Pricing Strategy,pricing-head-of-pricing-strategy,Pricing & Reimbursement Strategy
Market Access,Head of Pricing Strategy - Global (Operational),Head of Pricing Strategy,pricing-head-of-pricing-strategy,Pricing & Reimbursement Strategy
Market Access,Head of Pricing Strategy - Global (Specialty),Head of Pricing Strategy,pricing-head-of-pricing-strategy,Pricing & Reimbursement Strategy
Market Access,Head of Pricing Strategy - Global (Strategic),Head of Pricing Strategy,pricing-head-of-pricing-strategy,Pricing & Reimbursement Strategy
Market Access,Head of Trade & Distribution - National (Large Pharma),Head of Trade Relations,trade-head-of-trade-relations,Trade & Distribution
Market Access,Head of Trade & Distribution - National (Mid-Size),Head of Trade Relations,trade-head-of-trade-relations,Trade & Distribution
Market Access,Head of Trade & Distribution - National (Specialty),Head of Trade Relations,trade-head-of-trade-relations,Trade & Distribution
Market Access,Head of VEO - Global (Commercial),Head of Value & Evidence,veo-head-of-value-evidence,"Value, Evidence & Outcomes (VEO)"
Market Access,Head of VEO - Global (Operational),Head of Value & Evidence,veo-head-of-value-evidence,"Value, Evidence & Outcomes (VEO)"
Market Access,Head of VEO - Global (Specialty),Head of Value & Evidence,veo-head-of-value-evidence,"Value, Evidence & Outcomes (VEO)"
Market Access,Head of VEO - Global (Strategic),Head of Value & Evidence,veo-head-of-value-evidence,"Value, Evidence & Outcomes (VEO)"
Market Access,HEOR Analyst - Junior (0-3 years),HEOR Analyst,heor-analyst,HEOR
Market Access,HEOR Analyst - Mid (4-7 years),HEOR Analyst,heor-analyst,HEOR
Market Access,HEOR Analyst - Modeling Expert,HEOR Analyst,heor-analyst,HEOR
Market Access,HEOR Analyst - RWE Specialist,HEOR Analyst,heor-analyst,HEOR
Market Access,HEOR Analyst - Senior (8-12 years),HEOR Analyst,heor-analyst,HEOR
Market Access,Hub Services Manager - Benefits Verification (Mid),Hub Services Manager,patient-hub-services-manager,Patient Access & Services
Market Access,Hub Services Manager - Benefits Verification (Senior),Hub Services Manager,patient-hub-services-manager,Patient Access & Services
Market Access,Hub Services Manager - Operations (Junior),Hub Services Manager,patient-hub-services-manager,Patient Access & Services
Market Access,Hub Services Manager - Operations (Mid),Hub Services Manager,patient-hub-services-manager,Patient Access & Services
Market Access,Hub Services Manager - Operations (Senior),Hub Services Manager,patient-hub-services-manager,Patient Access & Services
Market Access,MA Analyst - Competitive Intelligence (Junior),MA Data Analyst,analytics-ma-data-analyst,Market Access Operations & Excellence
Market Access,MA Analyst - Competitive Intelligence (Senior),MA Data Analyst,analytics-ma-data-analyst,Market Access Operations & Excellence
Market Access,MA Business Analyst (Mid),MA Data Analyst,analytics-ma-data-analyst,Market Access Operations & Excellence
Market Access,MA Operations Director - Excellence (Expert),MA Operations Director,operations-ma-operations-director,Market Access Operations & Excellence
Market Access,MA Operations Director - Excellence (Mid),MA Operations Director,operations-ma-operations-director,Market Access Operations & Excellence
Market Access,MA Process Improvement Manager (Expert),MA Process Excellence Manager,operations-ma-process-excellence-manager,Market Access Operations & Excellence
Market Access,MA Process Improvement Manager (Junior),MA Process Excellence Manager,operations-ma-process-excellence-manager,Market Access Operations & Excellence
Market Access,MA Project Manager (Junior),Market Access Manager,market-access-manager,Market Access Operations & Excellence
Market Access,MA Project Manager (Senior),Market Access Manager,market-access-manager,Market Access Operations & Excellence
Market Access,MA Strategy Manager (Junior),MA Strategy & Planning Manager,operations-ma-strategy-planning-manager,Market Access Operations & Excellence
Market Access,MA Strategy Manager (Senior),MA Strategy & Planning Manager,operations-ma-strategy-planning-manager,Market Access Operations & Excellence
Market Access,Medicare & Medicaid Director (Expert),Policy Analyst,govt-policy-analyst,Government & Policy Affairs
Market Access,Medicare & Medicaid Director (Mid),Policy Analyst,govt-policy-analyst,Government & Policy Affairs
Market Access,Patient Services Director - Hub Services (Expert),Patient Services Director,patient-patient-services-director,Patient Access & Services
Market Access,Patient Services Director - Hub Services (Junior),Patient Services Director,patient-patient-services-director,Patient Access & Services
Market Access,Patient Services Director - Hub Services (Mid),Patient Services Director,patient-patient-services-director,Patient Access & Services
Market Access,Patient Services Director - PAP (Expert),Patient Services Director,patient-patient-services-director,Patient Access & Services
Market Access,Patient Services Director - PAP (Junior),Patient Services Director,patient-patient-services-director,Patient Access & Services
Market Access,Patient Services Director - PAP (Mid),Patient Services Director,patient-patient-services-director,Patient Access & Services
Market Access,Payer Director - National Accounts (Junior),Payer Account Director,payer-payer-account-director,Payer Relations & Contracting
Market Access,Payer Director - National Accounts (Mid),Payer Account Director,payer-payer-account-director,Payer Relations & Contracting
Market Access,Payer Director - National Accounts (Senior),Payer Account Director,payer-payer-account-director,Payer Relations & Contracting
Market Access,Payer Director - Regional Plans (Expert),Payer Account Director,payer-payer-account-director,Payer Relations & Contracting
Market Access,Payer Director - Regional Plans (Junior),Payer Account Director,payer-payer-account-director,Payer Relations & Contracting
Market Access,Payer Director - Regional Plans (Mid),Payer Account Director,payer-payer-account-director,Payer Relations & Contracting
Market Access,Pricing Director - Global Markets (Expert),Global Pricing Director,pricing-global-pricing-director,Pricing & Reimbursement Strategy
Market Access,Pricing Director - Global Markets (Junior),Global Pricing Director,pricing-global-pricing-director,Pricing & Reimbursement Strategy
Market Access,Pricing Director - Global Markets (Mid),Global Pricing Director,pricing-global-pricing-director,Pricing & Reimbursement Strategy
Market Access,Pricing Director - Launch (Junior),Global Pricing Director,pricing-global-pricing-director,Pricing & Reimbursement Strategy
Market Access,Pricing Director - Launch (Mid),Global Pricing Director,pricing-global-pricing-director,Pricing & Reimbursement Strategy
Market Access,Pricing Director - Launch (Senior),Global Pricing Director,pricing-global-pricing-director,Pricing & Reimbursement Strategy
Market Access,Pricing Director - Lifecycle (Junior),Global Pricing Director,pricing-global-pricing-director,Pricing & Reimbursement Strategy
Market Access,Pricing Director - Lifecycle (Mid),Global Pricing Director,pricing-global-pricing-director,Pricing & Reimbursement Strategy
Market Access,Pricing Director - Lifecycle (Senior),Global Pricing Director,pricing-global-pricing-director,Pricing & Reimbursement Strategy
Market Access,Regional Payer Director - Northeast (Junior),Payer Account Director,payer-payer-account-director,Payer Relations & Contracting
Market Access,Regional Payer Director - Northeast (Mid),Payer Account Director,payer-payer-account-director,Payer Relations & Contracting
Market Access,Regional Payer Director - Northeast (Senior),Payer Account Director,payer-payer-account-director,Payer Relations & Contracting
Market Access,Regional Payer Director - West (Junior),Payer Account Director,payer-payer-account-director,Payer Relations & Contracting
Market Access,Regional Payer Director - West (Mid),Payer Account Director,payer-payer-account-director,Payer Relations & Contracting
Market Access,Regional Payer Director - West (Senior),Payer Account Director,payer-payer-account-director,Payer Relations & Contracting
Market Access,Reimbursement Director - EU (Expert),Reimbursement Strategy Director,pricing-reimbursement-strategy-director,Pricing & Reimbursement Strategy
Market Access,Reimbursement Director - EU (Junior),Reimbursement Strategy Director,pricing-reimbursement-strategy-director,Pricing & Reimbursement Strategy
Market Access,Reimbursement Director - EU (Mid),Reimbursement Strategy Director,pricing-reimbursement-strategy-director,Pricing & Reimbursement Strategy
Market Access,Reimbursement Director - US (Expert),Reimbursement Strategy Director,pricing-reimbursement-strategy-director,Pricing & Reimbursement Strategy
Market Access,Reimbursement Director - US (Junior),Reimbursement Strategy Director,pricing-reimbursement-strategy-director,Pricing & Reimbursement Strategy
Market Access,Reimbursement Director - US (Mid),Reimbursement Strategy Director,pricing-reimbursement-strategy-director,Pricing & Reimbursement Strategy
Market Access,Reimbursement Support Manager - Appeals (Mid),Reimbursement Support Manager,patient-reimbursement-support-manager,Patient Access & Services
Market Access,Reimbursement Support Manager - Appeals (Senior),Reimbursement Support Manager,patient-reimbursement-support-manager,Patient Access & Services
Market Access,Senior MA Analyst - Forecasting (Expert),Senior MA Analyst,analytics-senior-ma-analyst,Market Access Operations & Excellence
Market Access,Senior MA Analyst - Forecasting (Junior),Senior MA Analyst,analytics-senior-ma-analyst,Market Access Operations & Excellence
Market Access,Senior MA Analyst - Forecasting (Mid),Senior MA Analyst,analytics-senior-ma-analyst,Market Access Operations & Excellence
Market Access,Senior MA Analyst - Payer Intelligence (Expert),Senior MA Analyst,analytics-senior-ma-analyst,Market Access Analytics & Insights
Market Access,Senior MA Analyst - Payer Intelligence (Junior),Senior MA Analyst,analytics-senior-ma-analyst,Market Access Analytics & Insights
Market Access,Senior MA Analyst - Payer Intelligence (Mid),Senior MA Analyst,analytics-senior-ma-analyst,Market Access Analytics & Insights
Market Access,Senior Pricing Manager - Strategy (Expert),Senior Pricing Manager,pricing-senior-pricing-manager,Pricing & Reimbursement Strategy
Market Access,Senior Pricing Manager - Strategy (Junior),Senior Pricing Manager,pricing-senior-pricing-manager,Pricing & Reimbursement Strategy
Market Access,Senior Pricing Manager - Strategy (Mid),Senior Pricing Manager,pricing-senior-pricing-manager,Pricing & Reimbursement Strategy
Market Access,Trade Director - GPO Relations (Expert),GPO/IDN Director,trade-gpo-idn-director,Trade & Distribution
Market Access,Trade Director - GPO Relations (Mid),GPO/IDN Director,trade-gpo-idn-director,Trade & Distribution
Market Access,Trade Director - IDN Relations (Expert),GPO/IDN Director,trade-gpo-idn-director,Trade & Distribution
Market Access,Trade Director - IDN Relations (Mid),GPO/IDN Director,trade-gpo-idn-director,Trade & Distribution
Market Access,VEO Director - RWE (Expert),Value & Evidence Director,veo-value-evidence-director,"Value, Evidence & Outcomes (VEO)"
Market Access,VEO Director - RWE (Junior),Value & Evidence Director,veo-value-evidence-director,"Value, Evidence & Outcomes (VEO)"
Market Access,VEO Director - RWE (Mid),Value & Evidence Director,veo-value-evidence-director,"Value, Evidence & Outcomes (VEO)"
Market Access,VEO Director - Value Strategy (Junior),Value & Evidence Director,veo-value-evidence-director,"Value, Evidence & Outcomes (VEO)"
Market Access,VEO Director - Value Strategy (Mid),Value & Evidence Director,veo-value-evidence-director,"Value, Evidence & Outcomes (VEO)"
Market Access,VEO Director - Value Strategy (Senior),Value & Evidence Director,veo-value-evidence-director,"Value, Evidence & Outcomes (VEO)"
Market Access,VP Market Access - Global (Commercial),VP Market Access,vp-market-access,Leadership & Strategy
Market Access,VP Market Access - Global (Operations),VP Market Access,vp-market-access,Leadership & Strategy
Market Access,VP Market Access - Global (Regional Director),VP Market Access,vp-market-access,Leadership & Strategy
Market Access,VP Market Access - Global (Strategic),VP Market Access,vp-market-access,Leadership & Strategy
Market Access,VP Market Access - US (Launch Leader),VP Market Access,vp-market-access,Leadership & Strategy
Market Access,VP Market Access - US (National Accounts),VP Market Access,vp-market-access,Leadership & Strategy
Market Access,VP Market Access - US (Portfolio Management),VP Market Access,vp-market-access,Leadership & Strategy
Market Access,VP Market Access - US (Specialty Pharma),VP Market Access,vp-market-access,Leadership & Strategy
Medical Affairs,Chief Medical Officer - Large Pharma,Chief Medical Officer,chief-medical-officer,Leadership
Medical Affairs,Chief Medical Officer - Mid-Size Pharma,Chief Medical Officer,chief-medical-officer,Leadership
Medical Affairs,Clinical Trial Physician - Early Phase,Clinical Trial Physician,clinical-trial-physician,Clinical Operations Support
Medical Affairs,Clinical Trial Physician - Late Phase,Clinical Trial Physician,clinical-trial-physician,Clinical Operations Support
Medical Affairs,Clinical Trial Physician - Oncology,Clinical Trial Physician,clinical-trial-physician,Clinical Operations Support
Medical Affairs,Clinical Trial Physician - Rare Disease,Clinical Trial Physician,clinical-trial-physician,Clinical Operations Support
Medical Affairs,Congress Manager - Major,Congress Manager,congress-manager,Medical Communications
Medical Affairs,Congress Manager - Regional,Congress Manager,congress-manager,Medical Communications
Medical Affairs,Congress Manager - Virtual,Congress Manager,congress-manager,Medical Communications
Medical Affairs,Epidemiologist - Disease Burden,Epidemiologist,epidemiologist,Evidence Generation & HEOR
Medical Affairs,Epidemiologist - Infectious Disease,Epidemiologist,epidemiologist,Evidence Generation & HEOR
Medical Affairs,Epidemiologist - Registry,Epidemiologist,epidemiologist,Evidence Generation & HEOR
Medical Affairs,Epidemiologist - Safety Surveillance,Epidemiologist,epidemiologist,Evidence Generation & HEOR
Medical Affairs,Field Medical Trainer - Advanced,Field Medical Trainer,field-medical-trainer,Field Medical
Medical Affairs,Field Medical Trainer - Compliance,Field Medical Trainer,field-medical-trainer,Field Medical
Medical Affairs,Field Medical Trainer - Onboarding,Field Medical Trainer,field-medical-trainer,Field Medical
Medical Affairs,Head Medical Communications - Congress,Head Medical Communications,head-medical-communications,Medical Communications
Medical Affairs,Head Medical Communications - Digital,Head Medical Communications,head-medical-communications,Medical Communications
Medical Affairs,Head Medical Communications - Medical Education,Head Medical Communications,head-medical-communications,Medical Communications
Medical Affairs,Head Medical Communications - Publications,Head Medical Communications,head-medical-communications,Medical Communications
Medical Affairs,Head Medical Excellence - Digital,Head of Medical Excellence,head-of-medical-excellence,Medical Excellence & Governance
Medical Affairs,Head Medical Excellence - Process,Head of Medical Excellence,head-of-medical-excellence,Medical Excellence & Governance
Medical Affairs,Head Medical Excellence - Quality,Head of Medical Excellence,head-of-medical-excellence,Medical Excellence & Governance
Medical Affairs,Head Medical Excellence - Training,Head of Medical Excellence,head-of-medical-excellence,Medical Excellence & Governance
Medical Affairs,Head Medical Information - EU,Head of Medical Information,head-of-medical-information,Medical Information
Medical Affairs,Head Medical Information - Global,Head of Medical Information,head-of-medical-information,Medical Information
Medical Affairs,Head Medical Information - Startup,Head of Medical Information,head-of-medical-information,Medical Information
Medical Affairs,Head Medical Information - US,Head of Medical Information,head-of-medical-information,Medical Information
Medical Affairs,Head Medical Strategy - Innovation,Head of Medical Strategy,head-of-medical-strategy,Medical Strategy & Operations
Medical Affairs,Head Medical Strategy - Launch,Head of Medical Strategy,head-of-medical-strategy,Medical Strategy & Operations
Medical Affairs,Head Medical Strategy - Lifecycle,Head of Medical Strategy,head-of-medical-strategy,Medical Strategy & Operations
Medical Affairs,Head Medical Strategy - Portfolio,Head of Medical Strategy,head-of-medical-strategy,Medical Strategy & Operations
Medical Affairs,Head of HEOR - EU (HTA Focus),Head of Evidence & HEOR,head-of-evidence-heor,Evidence Generation & HEOR
Medical Affairs,Head of HEOR - EU (Operational),Head of Evidence & HEOR,head-of-evidence-heor,Evidence Generation & HEOR
Medical Affairs,Head of HEOR - EU (Strategic),Head of Evidence & HEOR,head-of-evidence-heor,Evidence Generation & HEOR
Medical Affairs,Head of HEOR - EU/APAC,Head of Evidence & HEOR,head-of-evidence-heor,Evidence Generation & HEOR
Medical Affairs,Head of HEOR - Global (Digital Transformation),Head of Evidence & HEOR,head-of-evidence-heor,Evidence Generation & HEOR
Medical Affairs,Head of HEOR - Global (Emerging Markets),Head of Evidence & HEOR,head-of-evidence-heor,Evidence Generation & HEOR
Medical Affairs,Head of HEOR - Global (Large Pharma),Head of Evidence & HEOR,head-of-evidence-heor,Evidence Generation & HEOR
Medical Affairs,Head of HEOR - Global (Mid-Size),Head of Evidence & HEOR,head-of-evidence-heor,Evidence Generation & HEOR
Medical Affairs,Head of HEOR - Global (Specialty),Head of Evidence & HEOR,head-of-evidence-heor,Evidence Generation & HEOR
Medical Affairs,Head of HEOR - US (Launch Focus),Head of Evidence & HEOR,head-of-evidence-heor,Evidence Generation & HEOR
Medical Affairs,Head of HEOR - US (Operational),Head of Evidence & HEOR,head-of-evidence-heor,Evidence Generation & HEOR
Medical Affairs,Head of HEOR - US (Payer Relations),Head of Evidence & HEOR,head-of-evidence-heor,Evidence Generation & HEOR
Medical Affairs,Head of HEOR - US (Strategic),Head of Evidence & HEOR,head-of-evidence-heor,Evidence Generation & HEOR
Medical Affairs,Medical Affairs Clinical Liaison - Bridge,Medical Affairs Clinical Liaison,medical-affairs-clinical-liaison,Medical Strategy & Operations
Medical Affairs,Medical Affairs Clinical Liaison - Evidence,Medical Affairs Clinical Liaison,medical-affairs-clinical-liaison,Medical Strategy & Operations
Medical Affairs,Medical Affairs Clinical Liaison - Portfolio Management,Medical Affairs Clinical Liaison,medical-affairs-clinical-liaison,Medical Strategy & Operations
Medical Affairs,Medical Analytics Manager - Dashboards,Medical Operations Manager,medical-operations-manager,Medical Strategy & Operations
Medical Affairs,Medical Analytics Manager - KPI,Medical Operations Manager,medical-operations-manager,Medical Strategy & Operations
Medical Affairs,Medical Analytics Manager - Predictive,Medical Operations Manager,medical-operations-manager,Medical Strategy & Operations
Medical Affairs,Medical Business Partner - Commercial,Medical Business Partner,medical-business-partner,Medical Strategy & Operations
Medical Affairs,Medical Business Partner - Cross-Functional,Medical Business Partner,medical-business-partner,Medical Strategy & Operations
Medical Affairs,Medical Business Partner - Strategic,Medical Business Partner,medical-business-partner,Medical Strategy & Operations
Medical Affairs,Medical Communications Manager - Cross-Functional,Medical Communications Manager,medical-communications-manager,Medical Communications
Medical Affairs,Medical Communications Manager - Launch,Medical Communications Manager,medical-communications-manager,Medical Communications
Medical Affairs,Medical Communications Manager - Project,Medical Communications Manager,medical-communications-manager,Medical Communications
Medical Affairs,Medical Communications Manager - Strategic,Medical Communications Manager,medical-communications-manager,Medical Communications
Medical Affairs,Medical Compliance Manager - Field,Medical Compliance Manager,medical-compliance-manager,Medical Excellence & Governance
Medical Affairs,Medical Compliance Manager - Global,Medical Compliance Manager,medical-compliance-manager,Medical Excellence & Governance
Medical Affairs,Medical Compliance Manager - Promotional,Medical Compliance Manager,medical-compliance-manager,Medical Excellence & Governance
Medical Affairs,Medical Content Manager - Compliance,Medical Content Manager,medical-content-manager,Medical Information
Medical Affairs,Medical Content Manager - Development,Medical Content Manager,medical-content-manager,Medical Information
Medical Affairs,Medical Content Manager - Platform,Medical Content Manager,medical-content-manager,Medical Information
Medical Affairs,Medical Director - Academic,Medical Director,medical-director,Leadership
Medical Affairs,Medical Director - Commercial,Medical Director,medical-director,Leadership
Medical Affairs,Medical Director - Global,Medical Director,medical-director,Leadership
Medical Affairs,Medical Director - Launch,Medical Director,medical-director,Leadership
Medical Affairs,Medical Editor - Patient Materials,Senior Medical Writer,senior-medical-writer,Medical Publications
Medical Affairs,Medical Editor - Regulatory,Senior Medical Writer,senior-medical-writer,Medical Publications
Medical Affairs,Medical Editor - Scientific,Senior Medical Writer,senior-medical-writer,Medical Publications
Medical Affairs,Medical Education Director - CME,Medical Education Director,medical-education-director,Medical Communications
Medical Affairs,Medical Education Director - Digital,Medical Education Director,medical-education-director,Medical Communications
Medical Affairs,Medical Education Director - HCP Training,Medical Education Director,medical-education-director,Medical Communications
Medical Affairs,Medical Education Director - Patient Education,Medical Education Director,medical-education-director,Medical Communications
Medical Affairs,Medical Evidence Manager - Dossier,RWE Specialist,rwe-specialist,Leadership
Medical Affairs,Medical Evidence Manager - Gap Analysis,RWE Specialist,rwe-specialist,Leadership
Medical Affairs,Medical Evidence Manager - Launch,RWE Specialist,rwe-specialist,Leadership
Medical Affairs,Medical Evidence Manager - Synthesis,RWE Specialist,rwe-specialist,Leadership
Medical Affairs,Medical Info Manager - Content,Medical Info Manager,medical-info-manager,Medical Information
Medical Affairs,Medical Info Manager - Inquiry,Medical Info Manager,medical-info-manager,Medical Information
Medical Affairs,Medical Info Manager - Patient-Facing,Medical Info Manager,medical-info-manager,Medical Information
Medical Affairs,Medical Info Manager - Regulatory,Medical Info Manager,medical-info-manager,Medical Information
Medical Affairs,Medical Info Specialist - Digital,Medical Info Specialist,medical-info-specialist,Medical Information
Medical Affairs,Medical Info Specialist - Patient Services,Medical Info Specialist,medical-info-specialist,Medical Information
Medical Affairs,Medical Info Specialist - Standard,Medical Info Specialist,medical-info-specialist,Medical Information
Medical Affairs,Medical Info Specialist - TA Focus,Medical Info Specialist,medical-info-specialist,Medical Information
Medical Affairs,Medical Librarian - Knowledge Management,Medical Librarian,medical-librarian,Medical Information
Medical Affairs,Medical Librarian - Research,Medical Librarian,medical-librarian,Medical Information
Medical Affairs,Medical Librarian - Systematic Review,Medical Librarian,medical-librarian,Medical Information
Medical Affairs,Medical Monitor - Oncology,Medical Monitor,medical-monitor,Clinical Operations Support
Medical Affairs,Medical Monitor - Phase 1-2,Medical Monitor,medical-monitor,Clinical Operations Support
Medical Affairs,Medical Monitor - Phase 3-4,Medical Monitor,medical-monitor,Clinical Operations Support
Medical Affairs,Medical Monitor - Rare Disease,Medical Monitor,medical-monitor,Clinical Operations Support
Medical Affairs,Medical Operations Manager - Budget,Medical Operations Manager,medical-operations-manager,Medical Strategy & Operations
Medical Affairs,Medical Operations Manager - Process,Medical Operations Manager,medical-operations-manager,Medical Strategy & Operations
Medical Affairs,Medical Operations Manager - Resources,Medical Operations Manager,medical-operations-manager,Medical Strategy & Operations
Medical Affairs,Medical Quality Manager - Audit,Medical Quality Manager,medical-quality-manager,Medical Excellence & Governance
Medical Affairs,Medical Quality Manager - Improvement,Medical Quality Manager,medical-quality-manager,Medical Excellence & Governance
Medical Affairs,Medical Quality Manager - SOP,Medical Quality Manager,medical-quality-manager,Medical Excellence & Governance
Medical Affairs,Medical Science Liaison - Early Career,Medical Science Liaison,medical-science-liaison,Medical Science Liaisons
Medical Affairs,Medical Science Liaison - Experienced,Medical Science Liaison,medical-science-liaison,Medical Science Liaisons
Medical Affairs,Medical Science Liaison - Oncology,Medical Science Liaison,medical-science-liaison,Medical Science Liaisons
Medical Affairs,Medical Science Liaison - Rare Disease,Medical Science Liaison,medical-science-liaison,Medical Science Liaisons
Medical Affairs,Medical Training Manager - Compliance,Medical Training Manager,medical-training-manager,Medical Excellence & Governance
Medical Affairs,Medical Training Manager - Content,Medical Training Manager,medical-training-manager,Medical Excellence & Governance
Medical Affairs,Medical Training Manager - MSL,Medical Training Manager,medical-training-manager,Medical Excellence & Governance
Medical Affairs,Medical Writer Publications - Congress,Medical Writer Publications,medical-writer-publications,Medical Publications
Medical Affairs,Medical Writer Publications - Manuscript,Medical Writer Publications,medical-writer-publications,Medical Publications
Medical Affairs,Medical Writer Publications - RWE,Medical Writer Publications,medical-writer-publications,Medical Publications
Medical Affairs,Medical Writer Publications - Systematic Review,Medical Writer Publications,medical-writer-publications,Medical Publications
Medical Affairs,Medical Writer Regulatory - Advisory Board,Medical Writer Regulatory,medical-writer-regulatory,Medical Communications
Medical Affairs,Medical Writer Regulatory - Briefing Document,Medical Writer Regulatory,medical-writer-regulatory,Medical Communications
Medical Affairs,Medical Writer Regulatory - CSR,Medical Writer Regulatory,medical-writer-regulatory,Medical Communications
Medical Affairs,Medical Writer Regulatory - Module 2.3,Medical Writer Regulatory,medical-writer-regulatory,Medical Communications
Medical Affairs,Medical Writer Scientific - Congress,Medical Writer Scientific,medical-writer-scientific,Medical Communications
Medical Affairs,Medical Writer Scientific - Digital,Medical Writer Scientific,medical-writer-scientific,Medical Communications
Medical Affairs,Medical Writer Scientific - Manuscript,Medical Writer Scientific,medical-writer-scientific,Medical Communications
Medical Affairs,Medical Writer Scientific - Social Media,Medical Writer Scientific,medical-writer-scientific,Medical Communications
Medical Affairs,MSL - Cardiovascular,Medical Science Liaison,medical-science-liaison,Medical Science Liaisons
Medical Affairs,MSL - Immunology,Medical Science Liaison,medical-science-liaison,Medical Science Liaisons
Medical Affairs,MSL - Launch Support,Medical Science Liaison,medical-science-liaison,Medical Science Liaisons
Medical Affairs,MSL - Oncology Specialist,Medical Science Liaison,medical-science-liaison,Medical Science Liaisons
Medical Affairs,MSL - Specialty Pharma,Medical Science Liaison,medical-science-liaison,Medical Science Liaisons
Medical Affairs,MSL Manager - Development,MSL Manager,msl-manager,Field Medical
Medical Affairs,MSL Manager - Hands-On,MSL Manager,msl-manager,Field Medical
Medical Affairs,MSL Manager - Performance,MSL Manager,msl-manager,Field Medical
Medical Affairs,MSL Manager - Strategic,MSL Manager,msl-manager,Field Medical
Medical Affairs,Publication Coordinator - Database,Publication Coordinator,publication-coordinator,Medical Publications
Medical Affairs,Publication Coordinator - Submission,Publication Coordinator,publication-coordinator,Medical Publications
Medical Affairs,Publication Coordinator - Timeline,Publication Coordinator,publication-coordinator,Medical Publications
Medical Affairs,Publication Strategy - Congress,Publication Strategy Lead,publication-strategy-lead,Medical Communications
Medical Affairs,Publication Strategy - Digital,Publication Strategy Lead,publication-strategy-lead,Medical Communications
Medical Affairs,Publication Strategy - Peer Review,Publication Strategy Lead,publication-strategy-lead,Medical Communications
