DETAIL:  "supautils" is now a reserved prefix.
department_id,department_name,department_slug,role_id,role_name,role_slug,leadership_level,seniority_level,career_level,reports_to,geographic_scope
66d136eb-8fe9-47bc-8d83-7ef38b5aecb8,Regulatory Intelligence & Policy,regulatory-intelligence-policy,d1b14a3d-1e4b-47ff-a173-1a160ddf65ef,Regulatory Intelligence Specialist,regulatory-intelligence-specialist,L7,entry,3,Regulatory Intelligence Manager,centralized
14657f92-c6ca-4d2f-8bb9-32a776ae02dd,CMC Regulatory Affairs,cmc-regulatory-affairs,e3a35bf3-042c-4b19-b93d-91f37e9eef92,CMC Regulatory Affairs Director,cmc-regulatory-affairs-director,L4,director,7,VP Regulatory Submissions,global
14657f92-c6ca-4d2f-8bb9-32a776ae02dd,CMC Regulatory Affairs,cmc-regulatory-affairs,3508dd71-0beb-479d-8712-386e3dd5a2d3,CMC Regulatory Manager,cmc-regulatory-manager,L5,senior,6,CMC Regulatory Affairs Director,product
14657f92-c6ca-4d2f-8bb9-32a776ae02dd,CMC Regulatory Affairs,cmc-regulatory-affairs,51186dd7-7ece-4a20-bf75-b68a413a4fae,Senior CMC Regulatory Manager,senior-cmc-regulatory-manager,L5,senior,6,CMC Regulatory Affairs Director,product
14657f92-c6ca-4d2f-8bb9-32a776ae02dd,CMC Regulatory Affairs,cmc-regulatory-affairs,87dc39f9-68a8-4aff-aea0-550f4ec6a354,Senior CMC Regulatory Specialist,senior-cmc-regulatory-specialist,L6,senior,5,CMC Regulatory Manager,product
14657f92-c6ca-4d2f-8bb9-32a776ae02dd,CMC Regulatory Affairs,cmc-regulatory-affairs,6344a11b-563e-4005-b1fe-1beb16f6971d,CMC Regulatory Specialist,cmc-regulatory-specialist,L6,mid-level,4,CMC Regulatory Manager,product
14657f92-c6ca-4d2f-8bb9-32a776ae02dd,CMC Regulatory Affairs,cmc-regulatory-affairs,96eb87d2-4536-4c6d-980b-1e0c84106ec0,CMC Technical Writer,cmc-technical-writer,L6,mid-level,4,CMC Regulatory Manager,product
14657f92-c6ca-4d2f-8bb9-32a776ae02dd,CMC Regulatory Affairs,cmc-regulatory-affairs,2789c8a2-0a10-4950-8800-498e0e2ac861,CMC Regulatory Associate,cmc-regulatory-associate,L7,entry,3,CMC Regulatory Specialist,centralized
413b0c57-8303-4877-8772-508665651a8a,Global Regulatory Affairs,global-regulatory-affairs,e78a7bb2-9422-48d8-b061-d6b34bb9f690,Head of EU Regulatory Affairs,head-of-eu-regulatory-affairs,L3,director,8,SVP Regulatory Affairs,regional
413b0c57-8303-4877-8772-508665651a8a,Global Regulatory Affairs,global-regulatory-affairs,80c6eca6-fda6-452e-b2bf-d68ec487a9ab,Head of US Regulatory Affairs,head-of-us-regulatory-affairs,L3,director,8,SVP Regulatory Affairs,national
413b0c57-8303-4877-8772-508665651a8a,Global Regulatory Affairs,global-regulatory-affairs,5ffca137-45ad-4ab3-98b1-61a7e875eb2d,EU Regulatory Affairs Director,eu-regulatory-affairs-director,L4,director,7,Head of EU Regulatory Affairs,regional
413b0c57-8303-4877-8772-508665651a8a,Global Regulatory Affairs,global-regulatory-affairs,216b6da0-fdd9-4e22-beeb-f13fed514686,US Regulatory Affairs Director,us-regulatory-affairs-director,L4,director,7,Head of US Regulatory Affairs,national
413b0c57-8303-4877-8772-508665651a8a,Global Regulatory Affairs,global-regulatory-affairs,e4fd8553-a2ab-4149-91dc-5599e75dc430,APAC Regulatory Affairs Manager,apac-regulatory-affairs-manager,L5,senior,6,SVP Regulatory Affairs,regional
413b0c57-8303-4877-8772-508665651a8a,Global Regulatory Affairs,global-regulatory-affairs,f0b3cf5c-ef1c-494d-9538-58de8ec1b721,LatAm Regulatory Affairs Manager,latam-regulatory-affairs-manager,L5,senior,6,SVP Regulatory Affairs,regional
81176bb3-1229-4a5b-969b-8eb850e00e78,Regulatory Compliance & Systems,regulatory-compliance-systems,68df7391-2cd7-46d2-a712-b15c965eb59a,Regulatory Compliance Director,regulatory-compliance-director,L4,director,7,Head of Regulatory Operations,global
81176bb3-1229-4a5b-969b-8eb850e00e78,Regulatory Compliance & Systems,regulatory-compliance-systems,7b74cb26-1c97-4f59-852a-0d1eb34a5f65,Regulatory Compliance Manager,regulatory-compliance-manager,L5,senior,6,Regulatory Compliance Director,regional
81176bb3-1229-4a5b-969b-8eb850e00e78,Regulatory Compliance & Systems,regulatory-compliance-systems,0a7c2c3e-3e45-437e-a51e-10ac6fb2ec3a,Regulatory Labeling Manager,regulatory-labeling-manager,L5,senior,6,Regulatory Compliance Director,global
81176bb3-1229-4a5b-969b-8eb850e00e78,Regulatory Compliance & Systems,regulatory-compliance-systems,3531c643-8b6f-4762-b5c3-0885de3336c5,Regulatory Systems Manager,regulatory-systems-manager,L5,senior,6,Head of Regulatory Operations,centralized
81176bb3-1229-4a5b-969b-8eb850e00e78,Regulatory Compliance & Systems,regulatory-compliance-systems,c8bd03e5-ccb8-46fd-a2f2-0ff073ecea34,Regulatory Labeling Specialist,regulatory-labeling-specialist,L6,senior,5,Regulatory Labeling Manager,product
81176bb3-1229-4a5b-969b-8eb850e00e78,Regulatory Compliance & Systems,regulatory-compliance-systems,6b488dda-6a68-470e-a367-55a15602468e,Regulatory Systems Specialist,regulatory-systems-specialist,L7,mid-level,4,Regulatory Systems Manager,centralized
