Name,Description,Mapped_to_Departments,Mapped_to_Functions,Mapped_to_Responsibilities,Responsibilities,Unique_ID,🏫 Departments,🏫 Functions
Head of Translational Medicine,Bridges preclinical and clinical development,DEPT-003,FUNC-001,"RESP-051, RESP-052, RESP-053, RESP-054, RESP-055","Bridge Preclinical-Clinical (https://www.notion.so/Bridge-Preclinical-Clinical-2753dedf985681f988f9c0a56a6060fe?pvs=21), Develop Biomarker Strategy (https://www.notion.so/Develop-Biomarker-Strategy-2753dedf98568115a7e8f3f0aac5ad55?pvs=21), Design First-in-Human (https://www.notion.so/Design-First-in-Human-2753dedf985681429640fe1ad8a29853?pvs=21), Establish Proof-of-Concept (https://www.notion.so/Establish-Proof-of-Concept-2753dedf9856812d89b7cbe5781d7445?pvs=21), Guide Dose Selection (https://www.notion.so/Guide-Dose-Selection-2753dedf98568179b216f3a75b24d6e1?pvs=21)",ROLE-011,Translational Medicine (https://www.notion.so/Translational-Medicine-2753dedf985681fab4a4fa0fca69cf27?pvs=21),Research & Development (https://www.notion.so/Research-Development-2753dedf985681a8a73ae6a753a46224?pvs=21)
Translational Scientist,Conducts translational research and biomarker studies,DEPT-003,FUNC-001,"RESP-056, RESP-057, RESP-058, RESP-059, RESP-060","Conduct Translational Research (https://www.notion.so/Conduct-Translational-Research-2753dedf985681a48999cd3b0b0e0d20?pvs=21), Validate Biomarkers (https://www.notion.so/Validate-Biomarkers-2753dedf985681bc8226fc75ca694908?pvs=21), Analyze Patient Samples (https://www.notion.so/Analyze-Patient-Samples-2753dedf985681cc8ee6c3df718207ff?pvs=21), Develop Companion Diagnostics (https://www.notion.so/Develop-Companion-Diagnostics-2753dedf98568188a61fd093a692a4b2?pvs=21), Support Clinical Trials (https://www.notion.so/Support-Clinical-Trials-2753dedf9856818d9192dedcfda8898e?pvs=21)",ROLE-012,Translational Medicine (https://www.notion.so/Translational-Medicine-2753dedf985681fab4a4fa0fca69cf27?pvs=21),Research & Development (https://www.notion.so/Research-Development-2753dedf985681a8a73ae6a753a46224?pvs=21)
Pharmacogenomics Scientist,Studies genetic factors affecting drug response,DEPT-003,FUNC-001,"RESP-066, RESP-067, RESP-068, RESP-069, RESP-070","Study Genetic Variations (https://www.notion.so/Study-Genetic-Variations-2753dedf9856819babb8f92186994b20?pvs=21), Identify Patient Subgroups (https://www.notion.so/Identify-Patient-Subgroups-2753dedf9856810ab720e3b7599c1eea?pvs=21), Develop Genetic Tests (https://www.notion.so/Develop-Genetic-Tests-2753dedf98568149b722c9dc99519d67?pvs=21), Analyze Genomic Data (https://www.notion.so/Analyze-Genomic-Data-2753dedf9856818cad64ea3c96656331?pvs=21), Guide Personalized Medicine (https://www.notion.so/Guide-Personalized-Medicine-2753dedf9856813aae07d6d40804b647?pvs=21)",ROLE-014,Translational Medicine (https://www.notion.so/Translational-Medicine-2753dedf985681fab4a4fa0fca69cf27?pvs=21),Research & Development (https://www.notion.so/Research-Development-2753dedf985681a8a73ae6a753a46224?pvs=21)
Biomarker Specialist,Develops and validates biomarker strategies,DEPT-003,FUNC-001,"RESP-061, RESP-062, RESP-063, RESP-064, RESP-065","Identify Biomarkers (https://www.notion.so/Identify-Biomarkers-2753dedf985681a39d64e987ecccd5a8?pvs=21), Develop Biomarker Assays (https://www.notion.so/Develop-Biomarker-Assays-2753dedf985681d686aefa2ffa3e199e?pvs=21), Validate Biomarker Methods (https://www.notion.so/Validate-Biomarker-Methods-2753dedf985681908295d8bae39643d1?pvs=21), Analyze Biomarker Data (https://www.notion.so/Analyze-Biomarker-Data-2753dedf9856817d8984e440496bbf2c?pvs=21), Report Biomarker Results (https://www.notion.so/Report-Biomarker-Results-2753dedf9856812c8bbaf72c1698ad8d?pvs=21)",ROLE-013,Translational Medicine (https://www.notion.so/Translational-Medicine-2753dedf985681fab4a4fa0fca69cf27?pvs=21),Research & Development (https://www.notion.so/Research-Development-2753dedf985681a8a73ae6a753a46224?pvs=21)
Systems Biologist,Applies systems biology to drug development,DEPT-003,FUNC-001,"RESP-071, RESP-072, RESP-073, RESP-074, RESP-075","Apply Systems Biology (https://www.notion.so/Apply-Systems-Biology-2753dedf98568113a1bce6669dc78695?pvs=21), Model Biological Networks (https://www.notion.so/Model-Biological-Networks-2753dedf98568118b0cdd81a95c24f08?pvs=21), Integrate Multi-Omics (https://www.notion.so/Integrate-Multi-Omics-2753dedf9856819db01fcb680edee98e?pvs=21), Predict Drug Effects (https://www.notion.so/Predict-Drug-Effects-2753dedf985681bc8642d338f68cfe7d?pvs=21), Identify Drug Targets (https://www.notion.so/Identify-Drug-Targets-2753dedf9856814094c0dc4cc076c6a8?pvs=21)",ROLE-015,Translational Medicine (https://www.notion.so/Translational-Medicine-2753dedf985681fab4a4fa0fca69cf27?pvs=21),"Research & Development (https://www.notion.so/Research-Development-2753dedf985681a8a73ae6a753a46224?pvs=21), Medical Affairs (https://www.notion.so/Medical-Affairs-2753dedf98568199b005d55c03e05a2e?pvs=21)"
VP Clinical Operations,Leads clinical trial operations globally,DEPT-004,FUNC-002,"RESP-076, RESP-077, RESP-078, RESP-079, RESP-080","Lead Trial Operations (https://www.notion.so/Lead-Trial-Operations-2753dedf9856810aa2e3cfa8f3ad4340?pvs=21), Manage Trial Budgets (https://www.notion.so/Manage-Trial-Budgets-2753dedf985681688694ec3e53736ea6?pvs=21), Optimize Trial Processes (https://www.notion.so/Optimize-Trial-Processes-2753dedf98568148866be281ed1f47a2?pvs=21), Ensure Trial Quality (https://www.notion.so/Ensure-Trial-Quality-2753dedf985681bc83cafd08d218bb32?pvs=21), Manage Vendor Relationships (https://www.notion.so/Manage-Vendor-Relationships-2753dedf98568108bb40cc55f1d2fc42?pvs=21)",ROLE-016,Clinical Operations (https://www.notion.so/Clinical-Operations-2753dedf9856819ba33ce65e0eaf4a86?pvs=21),Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681abb32ce2905afa34f7?pvs=21)
Clinical Trial Manager,Manages individual clinical trials end-to-end,DEPT-004,FUNC-002,"RESP-081, RESP-082, RESP-083, RESP-084, RESP-085","Plan Clinical Trials (https://www.notion.so/Plan-Clinical-Trials-2753dedf9856817fa20ef0321607bf4c?pvs=21), Manage Trial Timelines (https://www.notion.so/Manage-Trial-Timelines-2753dedf98568199b898c42d5a403637?pvs=21), Coordinate Trial Activities (https://www.notion.so/Coordinate-Trial-Activities-2753dedf9856810cbe57c16d00cf67f7?pvs=21), Track Trial Progress (https://www.notion.so/Track-Trial-Progress-2753dedf985681c7aa85d2eebcc004ba?pvs=21), Report Trial Status (https://www.notion.so/Report-Trial-Status-2753dedf985681e29503f3feea8d6124?pvs=21)",ROLE-017,Clinical Operations (https://www.notion.so/Clinical-Operations-2753dedf9856819ba33ce65e0eaf4a86?pvs=21),Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681abb32ce2905afa34f7?pvs=21)
Clinical Research Associate,Monitors clinical trial sites and ensures compliance,DEPT-004,FUNC-002,"RESP-086, RESP-087, RESP-088, RESP-089, RESP-090","Monitor Trial Sites (https://www.notion.so/Monitor-Trial-Sites-2753dedf98568176bf36c6e29596dbb1?pvs=21), Verify Source Data (https://www.notion.so/Verify-Source-Data-2753dedf9856815294dad665ab04e7df?pvs=21), Ensure Protocol Compliance (https://www.notion.so/Ensure-Protocol-Compliance-2753dedf985681bc9840dc588c03d820?pvs=21), Manage Site Issues (https://www.notion.so/Manage-Site-Issues-2753dedf9856813c990df8ca2166073b?pvs=21), Train Site Staff (https://www.notion.so/Train-Site-Staff-2753dedf985681048b55f62ae1ff6cc6?pvs=21)",ROLE-018,Clinical Operations (https://www.notion.so/Clinical-Operations-2753dedf9856819ba33ce65e0eaf4a86?pvs=21),Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681abb32ce2905afa34f7?pvs=21)
Study Coordinator,Coordinates trial activities at site level,DEPT-004,FUNC-002,"RESP-091, RESP-092, RESP-093, RESP-094, RESP-095","Coordinate Site Activities (https://www.notion.so/Coordinate-Site-Activities-2753dedf985681fd9124d110a1283170?pvs=21), Recruit Patients (https://www.notion.so/Recruit-Patients-2753dedf9856811eab1fe4f435ea55eb?pvs=21), Manage Site Documentation (https://www.notion.so/Manage-Site-Documentation-2753dedf98568169934ec4ebaacdf3bc?pvs=21), Support Site Visits (https://www.notion.so/Support-Site-Visits-2753dedf985681389307ea706f1f9bce?pvs=21), Ensure Site Compliance (https://www.notion.so/Ensure-Site-Compliance-2753dedf985681b68fb9e4bd0739c025?pvs=21)",ROLE-019,Clinical Operations (https://www.notion.so/Clinical-Operations-2753dedf9856819ba33ce65e0eaf4a86?pvs=21),Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681abb32ce2905afa34f7?pvs=21)
Clinical Supply Manager,Manages clinical trial material supply chain,DEPT-004,FUNC-002,"RESP-096, RESP-097, RESP-098, RESP-099, RESP-100","Manage Drug Supply (https://www.notion.so/Manage-Drug-Supply-2753dedf985681308b32eb875812c247?pvs=21), Forecast Drug Needs (https://www.notion.so/Forecast-Drug-Needs-2753dedf9856817eba26e56e08d176f4?pvs=21), Coordinate Distribution (https://www.notion.so/Coordinate-Distribution-2753dedf98568176a265e94ba3cc47a1?pvs=21), Track Drug Inventory (https://www.notion.so/Track-Drug-Inventory-2753dedf98568102bf58ffb33e3fb9e4?pvs=21), Manage Returns (https://www.notion.so/Manage-Returns-2753dedf9856816eb961d767ca0ab76d?pvs=21)",ROLE-020,Clinical Operations (https://www.notion.so/Clinical-Operations-2753dedf9856819ba33ce65e0eaf4a86?pvs=21),Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681abb32ce2905afa34f7?pvs=21)
Therapeutic Area Head,Leads clinical development in specific therapeutic area,DEPT-005,FUNC-002,"RESP-106, RESP-107, RESP-108, RESP-109, RESP-110","Lead Therapeutic Strategy (https://www.notion.so/Lead-Therapeutic-Strategy-2753dedf98568103931eef78285ad676?pvs=21), Design Clinical Programs (https://www.notion.so/Design-Clinical-Programs-2753dedf98568155af70ca980d26cc27?pvs=21), Review TA Protocols (https://www.notion.so/Review-TA-Protocols-2753dedf985681bcb9c2f4841f93ebc6?pvs=21), Provide TA Expertise (https://www.notion.so/Provide-TA-Expertise-2753dedf98568128b346e10344bbcac7?pvs=21), Engage with KOLs (https://www.notion.so/Engage-with-KOLs-2753dedf9856819d95a1d2af6132cf0d?pvs=21)",ROLE-022,Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681c69375cf5c47a8da54?pvs=21),Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681abb32ce2905afa34f7?pvs=21)
Chief Medical Officer,Provides medical leadership and strategy,DEPT-005,FUNC-002,"RESP-101, RESP-102, RESP-103, RESP-104, RESP-105","Provide Medical Leadership (https://www.notion.so/Provide-Medical-Leadership-2753dedf985681b18d79cda7d087c911?pvs=21), Review Clinical Data (https://www.notion.so/Review-Clinical-Data-2753dedf985681baab34c8aa540cadb5?pvs=21), Make Go/No-Go Decisions (https://www.notion.so/Make-Go-No-Go-Decisions-2753dedf9856817295c8ef40d2896729?pvs=21), Interface with Regulators (https://www.notion.so/Interface-with-Regulators-2753dedf98568122aa1fc9f64e3a1c3a?pvs=21), Present to Investors (https://www.notion.so/Present-to-Investors-2753dedf98568165bad7d726940ff7dc?pvs=21)",ROLE-021,Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681c69375cf5c47a8da54?pvs=21),Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681abb32ce2905afa34f7?pvs=21)
Clinical Scientist,Designs clinical studies and protocols,DEPT-005,FUNC-002,"RESP-111, RESP-112, RESP-113, RESP-114, RESP-115","Design Study Protocols (https://www.notion.so/Design-Study-Protocols-2753dedf985681938499efa60565fa2f?pvs=21), Select Study Endpoints (https://www.notion.so/Select-Study-Endpoints-2753dedf985681a28a51c6a5928b4071?pvs=21), Calculate Sample Size (https://www.notion.so/Calculate-Sample-Size-2753dedf985681fcb840c69a39838657?pvs=21), Define Inclusion Criteria (https://www.notion.so/Define-Inclusion-Criteria-2753dedf985681efad98f7274660871b?pvs=21), Write Study Synopsis (https://www.notion.so/Write-Study-Synopsis-2753dedf985681babb93feb6a79aac90?pvs=21)",ROLE-023,Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681c69375cf5c47a8da54?pvs=21),"Legal (https://www.notion.so/Legal-2753dedf985681dfb537f92ad5ccced5?pvs=21), Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681abb32ce2905afa34f7?pvs=21)"
Medical Monitor,Provides medical oversight of clinical trials,DEPT-005,FUNC-002,"RESP-116, RESP-117, RESP-118, RESP-119, RESP-120","Provide Medical Oversight (https://www.notion.so/Provide-Medical-Oversight-2753dedf985681dda8b2d6dea7777e31?pvs=21), Review Safety Data (https://www.notion.so/Review-Safety-Data-2753dedf985681d0a6cdcaa412eb5e44?pvs=21), Make Medical Decisions (https://www.notion.so/Make-Medical-Decisions-2753dedf985681288e71dead51c481a7?pvs=21), Interface with Sites (https://www.notion.so/Interface-with-Sites-2753dedf9856818aaed2e3a00681a818?pvs=21), Support Data Review (https://www.notion.so/Support-Data-Review-2753dedf9856814f86addfd894eb0c95?pvs=21)",ROLE-024,Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681c69375cf5c47a8da54?pvs=21),Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681abb32ce2905afa34f7?pvs=21)
Protocol Writer,Authors clinical trial protocols,DEPT-005,FUNC-002,"RESP-121, RESP-122, RESP-123, RESP-124, RESP-125","Write Clinical Protocols (https://www.notion.so/Write-Clinical-Protocols-2753dedf985681119cbefbd168f1f4a7?pvs=21), Develop Protocol Amendments (https://www.notion.so/Develop-Protocol-Amendments-2753dedf985681e08077d201c51f9ad5?pvs=21), Create Study Documents (https://www.notion.so/Create-Study-Documents-2753dedf9856813a8e21f1fcf1ffa453?pvs=21), Ensure Protocol Quality (https://www.notion.so/Ensure-Protocol-Quality-2753dedf985681589f52c90e9a44e843?pvs=21), Incorporate Feedback (https://www.notion.so/Incorporate-Feedback-2753dedf9856813f9eede727effbd1b0?pvs=21)",ROLE-025,Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681c69375cf5c47a8da54?pvs=21),Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681abb32ce2905afa34f7?pvs=21)
Head of Data Management,Leads clinical data management function,DEPT-006,FUNC-002,"RESP-126, RESP-127, RESP-128, RESP-129, RESP-130","Lead Data Management (https://www.notion.so/Lead-Data-Management-2753dedf98568144b399e4515eb38365?pvs=21), Define Data Standards (https://www.notion.so/Define-Data-Standards-2753dedf98568155a3fdc17f65c00d7b?pvs=21), Oversee Database Build (https://www.notion.so/Oversee-Database-Build-2753dedf985681b48b45ea60b92b5a44?pvs=21), Ensure Data Quality (https://www.notion.so/Ensure-Data-Quality-2753dedf985681e19782c961263a86a9?pvs=21), Manage Data Transfers (https://www.notion.so/Manage-Data-Transfers-2753dedf9856818fbc07fb4f9e302671?pvs=21)",ROLE-026,Data Management (https://www.notion.so/Data-Management-2753dedf9856819686e0da5cc1c5e788?pvs=21),Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681abb32ce2905afa34f7?pvs=21)
Clinical Data Manager,Manages clinical trial data and databases,DEPT-006,FUNC-002,"RESP-131, RESP-132, RESP-133, RESP-134, RESP-135","Design CRFs (https://www.notion.so/Design-CRFs-2753dedf98568122acfae7f920c4ca57?pvs=21), Build Clinical Databases (https://www.notion.so/Build-Clinical-Databases-2753dedf9856817a8e34eae29f9f9f9c?pvs=21), Clean Clinical Data (https://www.notion.so/Clean-Clinical-Data-2753dedf985681d094ddc97f5539a144?pvs=21), Generate Queries (https://www.notion.so/Generate-Queries-2753dedf985681c99db3ccea8f968fe9?pvs=21), Lock Databases (https://www.notion.so/Lock-Databases-2753dedf98568163906cf8cc2ac11591?pvs=21)",ROLE-027,Data Management (https://www.notion.so/Data-Management-2753dedf9856819686e0da5cc1c5e788?pvs=21),Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681abb32ce2905afa34f7?pvs=21)
Database Programmer,Programs clinical databases and EDC systems,DEPT-006,FUNC-002,"RESP-136, RESP-137, RESP-138, RESP-139, RESP-140","Program EDC Systems (https://www.notion.so/Program-EDC-Systems-2753dedf985681f58d37ea10aa843f5a?pvs=21), Create Edit Checks (https://www.notion.so/Create-Edit-Checks-2753dedf98568106ada4c96e151ec5bd?pvs=21), Develop Data Reports (https://www.notion.so/Develop-Data-Reports-2753dedf985681408ecee2979c0295fb?pvs=21), Validate Databases (https://www.notion.so/Validate-Databases-2753dedf9856814495bee188ac1b5032?pvs=21), Support Data Queries (https://www.notion.so/Support-Data-Queries-2753dedf985681548ea6f194172b5542?pvs=21)",ROLE-028,Data Management (https://www.notion.so/Data-Management-2753dedf9856819686e0da5cc1c5e788?pvs=21),Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681abb32ce2905afa34f7?pvs=21)
Data Standards Specialist,Ensures CDISC compliance and data standards,DEPT-006,FUNC-002,"RESP-141, RESP-142, RESP-143, RESP-144, RESP-145","Implement CDISC Standards (https://www.notion.so/Implement-CDISC-Standards-2753dedf98568106a4e9e8916afedaca?pvs=21), Map Data Domains (https://www.notion.so/Map-Data-Domains-2753dedf98568106bc81ef753fa2fc38?pvs=21), Create SDTM Datasets (https://www.notion.so/Create-SDTM-Datasets-2753dedf985681efba34ffd3d5cd99e9?pvs=21), Develop ADaM Datasets (https://www.notion.so/Develop-ADaM-Datasets-2753dedf985681418b1dced238a81597?pvs=21), Validate Submissions (https://www.notion.so/Validate-Submissions-2753dedf985681e0b772d5d9a3422270?pvs=21)",ROLE-029,Data Management (https://www.notion.so/Data-Management-2753dedf9856819686e0da5cc1c5e788?pvs=21),Clinical Development (https://www.notion.so/Clinical-Development-2753dedf985681abb32ce2905afa34f7?pvs=21)
