Name,Description,Mapped_to_VITAL_Path_Use_Cases,Roles,Unique_ID
Write Scientific Papers,Author research publications,UC-014: Publication writing assistant,Principal Scientist (https://www.notion.so/Principal-Scientist-2753dedf9856813f983fc1e4a4aa56c8?pvs=21),RESP-014
Synthesize Compounds,Synthesize and purify drug candidates,UC-017: Synthesis planning,Medicinal Chemist (https://www.notion.so/Medicinal-Chemist-2753dedf985681219e1cce26b6b1615a?pvs=21),RESP-017
Design Drug Molecules,Design novel chemical entities,UC-016: Molecular design tools,Medicinal Chemist (https://www.notion.so/Medicinal-Chemist-2753dedf985681219e1cce26b6b1615a?pvs=21),RESP-016
Optimize Lead Compounds,Improve potency and selectivity of leads,UC-018: SAR analysis platform,Medicinal Chemist (https://www.notion.so/Medicinal-Chemist-2753dedf985681219e1cce26b6b1615a?pvs=21),RESP-018
Analyze Structure-Activity,Perform structure-activity relationship studies,UC-019: SAR visualization,Medicinal Chemist (https://www.notion.so/Medicinal-Chemist-2753dedf985681219e1cce26b6b1615a?pvs=21),RESP-019
Document Chemistry Work,Maintain detailed chemistry documentation,UC-020: Electronic lab notebook,Medicinal Chemist (https://www.notion.so/Medicinal-Chemist-2753dedf985681219e1cce26b6b1615a?pvs=21),RESP-020
Validate Drug Targets,Validate biological targets,UC-022: Target validation database,Molecular Biologist (https://www.notion.so/Molecular-Biologist-2753dedf9856819796b2edbdd1270c65?pvs=21),RESP-022
Study Disease Mechanisms,Investigate molecular disease mechanisms,UC-021: Pathway analysis tools,Molecular Biologist (https://www.notion.so/Molecular-Biologist-2753dedf9856819796b2edbdd1270c65?pvs=21),RESP-021
Develop Assays,Develop biological assays,UC-023: Assay design assistant,Molecular Biologist (https://www.notion.so/Molecular-Biologist-2753dedf9856819796b2edbdd1270c65?pvs=21),RESP-023
Screen Compounds,Screen compounds in biological assays,UC-024: Screening data management,Molecular Biologist (https://www.notion.so/Molecular-Biologist-2753dedf9856819796b2edbdd1270c65?pvs=21),RESP-024
Characterize Drug Effects,Characterize biological effects of compounds,UC-025: Effect profiling tools,Molecular Biologist (https://www.notion.so/Molecular-Biologist-2753dedf9856819796b2edbdd1270c65?pvs=21),RESP-025
Plan Preclinical Studies,Design preclinical development plans,UC-026: Preclinical planning tools,Head of Preclinical (https://www.notion.so/Head-of-Preclinical-2753dedf985681b98523df6745011e4c?pvs=21),RESP-026
Coordinate CROs,Manage contract research organizations,UC-028: CRO management platform,Head of Preclinical (https://www.notion.so/Head-of-Preclinical-2753dedf985681b98523df6745011e4c?pvs=21),RESP-028
Manage IND-Enabling Studies,Oversee IND-enabling study packages,UC-027: IND preparation checklist,Head of Preclinical (https://www.notion.so/Head-of-Preclinical-2753dedf985681b98523df6745011e4c?pvs=21),RESP-027
Interface with Clinical,Bridge preclinical and clinical development,UC-030: Translation planning,Head of Preclinical (https://www.notion.so/Head-of-Preclinical-2753dedf985681b98523df6745011e4c?pvs=21),RESP-030
Review Safety Data,Evaluate preclinical safety data,UC-029: Safety assessment tools,Head of Preclinical (https://www.notion.so/Head-of-Preclinical-2753dedf985681b98523df6745011e4c?pvs=21),RESP-029
Design Toxicology Studies,Design toxicology study protocols,UC-031: Tox study designer,Toxicologist (https://www.notion.so/Toxicologist-2753dedf98568102b61ecbea95b03bbc?pvs=21),RESP-031
Determine NOAEL,Establish no observed adverse effect levels,UC-033: NOAEL calculator,Toxicologist (https://www.notion.so/Toxicologist-2753dedf98568102b61ecbea95b03bbc?pvs=21),RESP-033
Assess Safety Profiles,Evaluate compound safety profiles,UC-032: Safety signal detection,Toxicologist (https://www.notion.so/Toxicologist-2753dedf98568102b61ecbea95b03bbc?pvs=21),RESP-032
Support Regulatory Submissions,Provide toxicology sections for submissions,UC-035: Submission support tools,Toxicologist (https://www.notion.so/Toxicologist-2753dedf98568102b61ecbea95b03bbc?pvs=21),RESP-035
Write Toxicology Reports,Author toxicology study reports,UC-034: Report templates,Toxicologist (https://www.notion.so/Toxicologist-2753dedf98568102b61ecbea95b03bbc?pvs=21),RESP-034
Study Drug Mechanisms,Investigate pharmacological mechanisms,UC-036: Mechanism database,Regulatory Writer (https://www.notion.so/Regulatory-Writer-2753dedf98568133ad7ff06a03e8ff37?pvs=21),RESP-036
Evaluate Drug Interactions,Assess drug-drug interactions,UC-038: Interaction checker,"Regulatory Writer (https://www.notion.so/Regulatory-Writer-2753dedf98568133ad7ff06a03e8ff37?pvs=21), Pharmacologist (https://www.notion.so/Pharmacologist-2753dedf98568187a122cb3dec4b7f8d?pvs=21)",RESP-038
Conduct PK/PD Studies,Perform pharmacokinetic/pharmacodynamic studies,UC-037: PK/PD modeling,"Regulatory Writer (https://www.notion.so/Regulatory-Writer-2753dedf98568133ad7ff06a03e8ff37?pvs=21), Pharmacologist (https://www.notion.so/Pharmacologist-2753dedf98568187a122cb3dec4b7f8d?pvs=21)",RESP-037
Model Dose-Response,Model dose-response relationships,UC-039: Dose modeling tools,"Regulatory Writer (https://www.notion.so/Regulatory-Writer-2753dedf98568133ad7ff06a03e8ff37?pvs=21), Pharmacologist (https://www.notion.so/Pharmacologist-2753dedf98568187a122cb3dec4b7f8d?pvs=21)",RESP-039
Predict Human Doses,Predict human equivalent doses,UC-040: Dose prediction platform,"Regulatory Writer (https://www.notion.so/Regulatory-Writer-2753dedf98568133ad7ff06a03e8ff37?pvs=21), Pharmacologist (https://www.notion.so/Pharmacologist-2753dedf98568187a122cb3dec4b7f8d?pvs=21)",RESP-040
Analyze Drug Metabolism,Study drug metabolism pathways,UC-041: Metabolism predictor,DMPK Scientist (https://www.notion.so/DMPK-Scientist-2753dedf9856817d96e1dec28c078b22?pvs=21),RESP-041
Measure Drug Exposure,Measure drug exposure levels,UC-042: Exposure calculator,DMPK Scientist (https://www.notion.so/DMPK-Scientist-2753dedf9856817d96e1dec28c078b22?pvs=21),RESP-042
Assess Bioavailability,Determine drug bioavailability,UC-043: Bioavailability tools,DMPK Scientist (https://www.notion.so/DMPK-Scientist-2753dedf9856817d96e1dec28c078b22?pvs=21),RESP-043
Predict Drug Clearance,Predict drug clearance rates,UC-044: Clearance modeling,DMPK Scientist (https://www.notion.so/DMPK-Scientist-2753dedf9856817d96e1dec28c078b22?pvs=21),RESP-044
Develop Formulations,Create drug formulations,UC-046: Formulation database,Formulation Scientist (https://www.notion.so/Formulation-Scientist-2753dedf9856814c872be23133b9536f?pvs=21),RESP-046
Optimize ADME Properties,Optimize absorption distribution metabolism excretion,UC-045: ADME optimization,DMPK Scientist (https://www.notion.so/DMPK-Scientist-2753dedf9856817d96e1dec28c078b22?pvs=21),RESP-045
Conduct Stability Studies,Perform formulation stability studies,UC-048: Stability tracking,Formulation Scientist (https://www.notion.so/Formulation-Scientist-2753dedf9856814c872be23133b9536f?pvs=21),RESP-048
Optimize Drug Delivery,Optimize delivery systems,UC-047: Delivery design tools,Formulation Scientist (https://www.notion.so/Formulation-Scientist-2753dedf9856814c872be23133b9536f?pvs=21),RESP-047
Scale Formulation Process,Scale up formulation processes,UC-049: Scale-up calculator,Formulation Scientist (https://www.notion.so/Formulation-Scientist-2753dedf9856814c872be23133b9536f?pvs=21),RESP-049
Transfer to Manufacturing,Transfer formulations to manufacturing,UC-050: Tech transfer tools,Formulation Scientist (https://www.notion.so/Formulation-Scientist-2753dedf9856814c872be23133b9536f?pvs=21),RESP-050
Bridge Preclinical-Clinical,Connect preclinical and clinical development,UC-051: Translation tracker,Head of Translational Medicine (https://www.notion.so/Head-of-Translational-Medicine-2753dedf9856811f9dedf96786723bea?pvs=21),RESP-051
Develop Biomarker Strategy,Create biomarker development plans,UC-052: Biomarker planner,Head of Translational Medicine (https://www.notion.so/Head-of-Translational-Medicine-2753dedf9856811f9dedf96786723bea?pvs=21),RESP-052
Design First-in-Human,Design first-in-human studies,UC-053: FIH study designer,Head of Translational Medicine (https://www.notion.so/Head-of-Translational-Medicine-2753dedf9856811f9dedf96786723bea?pvs=21),RESP-053
Establish Proof-of-Concept,Define proof-of-concept criteria,UC-054: PoC criteria builder,Head of Translational Medicine (https://www.notion.so/Head-of-Translational-Medicine-2753dedf9856811f9dedf96786723bea?pvs=21),RESP-054
Guide Dose Selection,Guide clinical dose selection,UC-055: Dose selection tools,Head of Translational Medicine (https://www.notion.so/Head-of-Translational-Medicine-2753dedf9856811f9dedf96786723bea?pvs=21),RESP-055
Conduct Translational Research,Perform translational studies,UC-056: Research tracker,Translational Scientist (https://www.notion.so/Translational-Scientist-2753dedf9856815f90ffda14dfd5d1c5?pvs=21),RESP-056
Validate Biomarkers,Validate clinical biomarkers,UC-057: Validation protocols,Translational Scientist (https://www.notion.so/Translational-Scientist-2753dedf9856815f90ffda14dfd5d1c5?pvs=21),RESP-057
Analyze Patient Samples,Analyze clinical trial samples,UC-058: Sample analysis platform,Translational Scientist (https://www.notion.so/Translational-Scientist-2753dedf9856815f90ffda14dfd5d1c5?pvs=21),RESP-058
Develop Companion Diagnostics,Develop companion diagnostic tests,UC-059: CDx development tools,Translational Scientist (https://www.notion.so/Translational-Scientist-2753dedf9856815f90ffda14dfd5d1c5?pvs=21),RESP-059
Support Clinical Trials,Provide translational support to trials,UC-060: Trial support dashboard,Translational Scientist (https://www.notion.so/Translational-Scientist-2753dedf9856815f90ffda14dfd5d1c5?pvs=21),RESP-060
Identify Biomarkers,Identify potential biomarkers,UC-061: Biomarker discovery,Biomarker Specialist (https://www.notion.so/Biomarker-Specialist-2753dedf985681329d6bd981567b7648?pvs=21),RESP-061
Validate Biomarker Methods,Validate biomarker analytical methods,UC-063: Method validation,Biomarker Specialist (https://www.notion.so/Biomarker-Specialist-2753dedf985681329d6bd981567b7648?pvs=21),RESP-063
Develop Biomarker Assays,Develop biomarker assays,UC-062: Assay development,Biomarker Specialist (https://www.notion.so/Biomarker-Specialist-2753dedf985681329d6bd981567b7648?pvs=21),RESP-062
Analyze Biomarker Data,Analyze biomarker data from trials,UC-064: Biomarker analytics,Biomarker Specialist (https://www.notion.so/Biomarker-Specialist-2753dedf985681329d6bd981567b7648?pvs=21),RESP-064
Report Biomarker Results,Report biomarker findings,UC-065: Biomarker reporting,Biomarker Specialist (https://www.notion.so/Biomarker-Specialist-2753dedf985681329d6bd981567b7648?pvs=21),RESP-065
Study Genetic Variations,Study genetic factors in drug response,UC-066: Genomics platform,Pharmacogenomics Scientist (https://www.notion.so/Pharmacogenomics-Scientist-2753dedf9856810ab240f1071cb47b55?pvs=21),RESP-066
Identify Patient Subgroups,Identify responder populations,UC-067: Patient stratification,Pharmacogenomics Scientist (https://www.notion.so/Pharmacogenomics-Scientist-2753dedf9856810ab240f1071cb47b55?pvs=21),RESP-067
Develop Genetic Tests,Develop pharmacogenomic tests,UC-068: PGx test development,Pharmacogenomics Scientist (https://www.notion.so/Pharmacogenomics-Scientist-2753dedf9856810ab240f1071cb47b55?pvs=21),RESP-068
Analyze Genomic Data,Analyze genomic datasets,UC-069: Genomic analysis tools,Pharmacogenomics Scientist (https://www.notion.so/Pharmacogenomics-Scientist-2753dedf9856810ab240f1071cb47b55?pvs=21),RESP-069
Apply Systems Biology,Apply systems biology approaches,UC-071: Systems modeling,Systems Biologist (https://www.notion.so/Systems-Biologist-2753dedf9856816f9b13c6246f57e5cd?pvs=21),RESP-071
Guide Personalized Medicine,Support personalized medicine strategies,UC-070: Precision medicine platform,Pharmacogenomics Scientist (https://www.notion.so/Pharmacogenomics-Scientist-2753dedf9856810ab240f1071cb47b55?pvs=21),RESP-070
Model Biological Networks,Model complex biological networks,UC-072: Network analysis,Systems Biologist (https://www.notion.so/Systems-Biologist-2753dedf9856816f9b13c6246f57e5cd?pvs=21),RESP-072
Integrate Multi-Omics,Integrate multi-omics data,UC-073: Omics integration,Systems Biologist (https://www.notion.so/Systems-Biologist-2753dedf9856816f9b13c6246f57e5cd?pvs=21),RESP-073
Predict Drug Effects,Predict systemic drug effects,UC-074: Effect prediction,Systems Biologist (https://www.notion.so/Systems-Biologist-2753dedf9856816f9b13c6246f57e5cd?pvs=21),RESP-074
Lead Trial Operations,Oversee clinical trial operations,UC-076: Operations dashboard,VP Clinical Operations (https://www.notion.so/VP-Clinical-Operations-2753dedf9856813baf11fffd553d317a?pvs=21),RESP-076
Identify Drug Targets,Identify novel drug targets,UC-075: Target identification,Systems Biologist (https://www.notion.so/Systems-Biologist-2753dedf9856816f9b13c6246f57e5cd?pvs=21),RESP-075
Manage Trial Budgets,Manage clinical trial budgets,UC-077: Budget management,VP Clinical Operations (https://www.notion.so/VP-Clinical-Operations-2753dedf9856813baf11fffd553d317a?pvs=21),RESP-077
Optimize Trial Processes,Improve operational efficiency,UC-078: Process optimization,VP Clinical Operations (https://www.notion.so/VP-Clinical-Operations-2753dedf9856813baf11fffd553d317a?pvs=21),RESP-078
Manage Vendor Relationships,Manage CRO and vendor relationships,UC-080: Vendor management,VP Clinical Operations (https://www.notion.so/VP-Clinical-Operations-2753dedf9856813baf11fffd553d317a?pvs=21),RESP-080
Ensure Trial Quality,Ensure trial quality standards,UC-079: Quality metrics,VP Clinical Operations (https://www.notion.so/VP-Clinical-Operations-2753dedf9856813baf11fffd553d317a?pvs=21),RESP-079
Plan Clinical Trials,Develop trial project plans,UC-081: Trial planning tools,Clinical Trial Manager (https://www.notion.so/Clinical-Trial-Manager-2753dedf985681459552c84851116df0?pvs=21),RESP-081
Manage Trial Timelines,Manage trial timelines and milestones,UC-082: Timeline tracker,Clinical Trial Manager (https://www.notion.so/Clinical-Trial-Manager-2753dedf985681459552c84851116df0?pvs=21),RESP-082
Coordinate Trial Activities,Coordinate cross-functional activities,UC-083: Activity coordinator,Clinical Trial Manager (https://www.notion.so/Clinical-Trial-Manager-2753dedf985681459552c84851116df0?pvs=21),RESP-083
Track Trial Progress,Monitor trial progress and metrics,UC-084: Progress dashboard,Clinical Trial Manager (https://www.notion.so/Clinical-Trial-Manager-2753dedf985681459552c84851116df0?pvs=21),RESP-084
Report Trial Status,Report trial status to management,UC-085: Status reporting,Clinical Trial Manager (https://www.notion.so/Clinical-Trial-Manager-2753dedf985681459552c84851116df0?pvs=21),RESP-085
Monitor Trial Sites,Conduct site monitoring visits,UC-086: Monitoring planner,Clinical Research Associate (https://www.notion.so/Clinical-Research-Associate-2753dedf9856810bab38d8b0f06934b3?pvs=21),RESP-086
Verify Source Data,Perform source data verification,UC-087: SDV tools,Clinical Research Associate (https://www.notion.so/Clinical-Research-Associate-2753dedf9856810bab38d8b0f06934b3?pvs=21),RESP-087
Ensure Protocol Compliance,Ensure sites follow protocol,UC-088: Compliance checker,Clinical Research Associate (https://www.notion.so/Clinical-Research-Associate-2753dedf9856810bab38d8b0f06934b3?pvs=21),RESP-088
Train Site Staff,Train site personnel on protocols,UC-090: Training platform,Clinical Research Associate (https://www.notion.so/Clinical-Research-Associate-2753dedf9856810bab38d8b0f06934b3?pvs=21),RESP-090
Manage Site Issues,Resolve site issues and queries,UC-089: Issue tracker,Clinical Research Associate (https://www.notion.so/Clinical-Research-Associate-2753dedf9856810bab38d8b0f06934b3?pvs=21),RESP-089
Coordinate Site Activities,Coordinate activities at trial site,UC-091: Site coordinator,Study Coordinator (https://www.notion.so/Study-Coordinator-2753dedf985681be8ffcda023aabb58b?pvs=21),RESP-091
Recruit Patients,Support patient recruitment,UC-092: Recruitment tracker,Study Coordinator (https://www.notion.so/Study-Coordinator-2753dedf985681be8ffcda023aabb58b?pvs=21),RESP-092
Manage Site Documentation,Maintain site regulatory documents,UC-093: Document management,Study Coordinator (https://www.notion.so/Study-Coordinator-2753dedf985681be8ffcda023aabb58b?pvs=21),RESP-093
Support Site Visits,Support monitoring and audit visits,UC-094: Visit scheduler,Study Coordinator (https://www.notion.so/Study-Coordinator-2753dedf985681be8ffcda023aabb58b?pvs=21),RESP-094
Ensure Site Compliance,Ensure site GCP compliance,UC-095: GCP checklist,Study Coordinator (https://www.notion.so/Study-Coordinator-2753dedf985681be8ffcda023aabb58b?pvs=21),RESP-095
Manage Drug Supply,Manage clinical trial material supply,UC-096: Supply management,Clinical Supply Manager (https://www.notion.so/Clinical-Supply-Manager-2753dedf985681229f7ceecf59602b06?pvs=21),RESP-096
Coordinate Distribution,Coordinate drug distribution to sites,UC-098: Distribution tracker,Clinical Supply Manager (https://www.notion.so/Clinical-Supply-Manager-2753dedf985681229f7ceecf59602b06?pvs=21),RESP-098
Forecast Drug Needs,Forecast clinical supply requirements,UC-097: Demand forecasting,Clinical Supply Manager (https://www.notion.so/Clinical-Supply-Manager-2753dedf985681229f7ceecf59602b06?pvs=21),RESP-097
Track Drug Inventory,Track drug inventory and expiry,UC-099: Inventory management,Clinical Supply Manager (https://www.notion.so/Clinical-Supply-Manager-2753dedf985681229f7ceecf59602b06?pvs=21),RESP-099
Manage Returns,Manage drug returns and destruction,UC-100: Returns processing,Clinical Supply Manager (https://www.notion.so/Clinical-Supply-Manager-2753dedf985681229f7ceecf59602b06?pvs=21),RESP-100
Provide Medical Leadership,Provide medical and scientific leadership,UC-101: Medical strategy tools,Chief Medical Officer (https://www.notion.so/Chief-Medical-Officer-2753dedf985681759ad6dceb2250dcd8?pvs=21),RESP-101
Review Clinical Data,Review and interpret clinical data,UC-102: Data review platform,Chief Medical Officer (https://www.notion.so/Chief-Medical-Officer-2753dedf985681759ad6dceb2250dcd8?pvs=21),RESP-102
Interface with Regulators,Interface with regulatory authorities,UC-104: Regulatory tracker,Chief Medical Officer (https://www.notion.so/Chief-Medical-Officer-2753dedf985681759ad6dceb2250dcd8?pvs=21),RESP-104
Make Go/No-Go Decisions,Make development go/no-go decisions,UC-103: Decision support,Chief Medical Officer (https://www.notion.so/Chief-Medical-Officer-2753dedf985681759ad6dceb2250dcd8?pvs=21),RESP-103
Lead Therapeutic Strategy,Lead therapeutic area strategy,UC-106: TA strategy planner,Therapeutic Area Head (https://www.notion.so/Therapeutic-Area-Head-2753dedf985681308c34fa8da5b534ba?pvs=21),RESP-106
Present to Investors,Present clinical data to investors,UC-105: Investor materials,Chief Medical Officer (https://www.notion.so/Chief-Medical-Officer-2753dedf985681759ad6dceb2250dcd8?pvs=21),RESP-105
Design Clinical Programs,Design clinical development programs,UC-107: Program designer,Therapeutic Area Head (https://www.notion.so/Therapeutic-Area-Head-2753dedf985681308c34fa8da5b534ba?pvs=21),RESP-107
Review TA Protocols,Review therapeutic area protocols,UC-108: Protocol reviewer,Therapeutic Area Head (https://www.notion.so/Therapeutic-Area-Head-2753dedf985681308c34fa8da5b534ba?pvs=21),RESP-108
Provide TA Expertise,Provide therapeutic area expertise,UC-109: TA knowledge base,Therapeutic Area Head (https://www.notion.so/Therapeutic-Area-Head-2753dedf985681308c34fa8da5b534ba?pvs=21),RESP-109
Design Study Protocols,Design clinical study protocols,UC-111: Protocol builder,Clinical Scientist (https://www.notion.so/Clinical-Scientist-2753dedf985681ce9047e7b58ef88840?pvs=21),RESP-111
Engage with KOLs,Engage with therapeutic area KOLs,UC-110: KOL management,Therapeutic Area Head (https://www.notion.so/Therapeutic-Area-Head-2753dedf985681308c34fa8da5b534ba?pvs=21),RESP-110
Select Study Endpoints,Select primary and secondary endpoints,UC-112: Endpoint selector,Clinical Scientist (https://www.notion.so/Clinical-Scientist-2753dedf985681ce9047e7b58ef88840?pvs=21),RESP-112
Calculate Sample Size,Determine study sample size,UC-113: Sample size calculator,Clinical Scientist (https://www.notion.so/Clinical-Scientist-2753dedf985681ce9047e7b58ef88840?pvs=21),RESP-113
Define Inclusion Criteria,Define patient inclusion/exclusion criteria,UC-114: Criteria builder,Clinical Scientist (https://www.notion.so/Clinical-Scientist-2753dedf985681ce9047e7b58ef88840?pvs=21),RESP-114
Write Study Synopsis,Write protocol synopsis,UC-115: Synopsis generator,Clinical Scientist (https://www.notion.so/Clinical-Scientist-2753dedf985681ce9047e7b58ef88840?pvs=21),RESP-115
Provide Medical Oversight,Provide medical oversight of trials,UC-116: Medical monitoring,Medical Monitor (https://www.notion.so/Medical-Monitor-2753dedf985681a09738f0ab98e5a3da?pvs=21),RESP-116
Make Medical Decisions,Make medical decisions about patients,UC-118: Decision tracker,Medical Monitor (https://www.notion.so/Medical-Monitor-2753dedf985681a09738f0ab98e5a3da?pvs=21),RESP-118
Review Safety Data,Review trial safety data,UC-117: Safety reviewer,Medical Monitor (https://www.notion.so/Medical-Monitor-2753dedf985681a09738f0ab98e5a3da?pvs=21),RESP-117
Support Data Review,Support data review meetings,UC-120: Review coordinator,Medical Monitor (https://www.notion.so/Medical-Monitor-2753dedf985681a09738f0ab98e5a3da?pvs=21),RESP-120
Interface with Sites,Interface with investigator sites,UC-119: Site communication,Medical Monitor (https://www.notion.so/Medical-Monitor-2753dedf985681a09738f0ab98e5a3da?pvs=21),RESP-119
Write Clinical Protocols,Author clinical trial protocols,UC-121: Protocol templates,Protocol Writer (https://www.notion.so/Protocol-Writer-2753dedf985681f99d48c3c9f9de5e77?pvs=21),RESP-121
Create Study Documents,Create study-specific documents,UC-123: Document generator,Protocol Writer (https://www.notion.so/Protocol-Writer-2753dedf985681f99d48c3c9f9de5e77?pvs=21),RESP-123
Develop Protocol Amendments,Write protocol amendments,UC-122: Amendment tracker,Protocol Writer (https://www.notion.so/Protocol-Writer-2753dedf985681f99d48c3c9f9de5e77?pvs=21),RESP-122
Incorporate Feedback,Incorporate stakeholder feedback,UC-125: Feedback manager,Protocol Writer (https://www.notion.so/Protocol-Writer-2753dedf985681f99d48c3c9f9de5e77?pvs=21),RESP-125
Ensure Protocol Quality,Ensure protocol quality and clarity,UC-124: Quality checker,Protocol Writer (https://www.notion.so/Protocol-Writer-2753dedf985681f99d48c3c9f9de5e77?pvs=21),RESP-124
Lead Data Management,Lead clinical data management function,UC-126: Data management platform,Head of Data Management (https://www.notion.so/Head-of-Data-Management-2753dedf9856812c9300eba3325731db?pvs=21),RESP-126
Define Data Standards,Define data collection standards,UC-127: Standards library,Head of Data Management (https://www.notion.so/Head-of-Data-Management-2753dedf9856812c9300eba3325731db?pvs=21),RESP-127
Oversee Database Build,Oversee clinical database development,UC-128: Database builder,Head of Data Management (https://www.notion.so/Head-of-Data-Management-2753dedf9856812c9300eba3325731db?pvs=21),RESP-128
Manage Data Transfers,Manage data transfers and migrations,UC-130: Transfer manager,Head of Data Management (https://www.notion.so/Head-of-Data-Management-2753dedf9856812c9300eba3325731db?pvs=21),RESP-130
Ensure Data Quality,Ensure clinical data quality,UC-129: Quality metrics,Head of Data Management (https://www.notion.so/Head-of-Data-Management-2753dedf9856812c9300eba3325731db?pvs=21),RESP-129
Design CRFs,Design case report forms,UC-131: CRF designer,Clinical Data Manager (https://www.notion.so/Clinical-Data-Manager-2753dedf9856811c92eae7f83d3b0047?pvs=21),RESP-131
Build Clinical Databases,Build and validate clinical databases,UC-132: Database tools,Clinical Data Manager (https://www.notion.so/Clinical-Data-Manager-2753dedf9856811c92eae7f83d3b0047?pvs=21),RESP-132
Clean Clinical Data,Clean and reconcile clinical data,UC-133: Data cleaning,Clinical Data Manager (https://www.notion.so/Clinical-Data-Manager-2753dedf9856811c92eae7f83d3b0047?pvs=21),RESP-133
Lock Databases,Perform database lock procedures,UC-135: Lock procedures,Clinical Data Manager (https://www.notion.so/Clinical-Data-Manager-2753dedf9856811c92eae7f83d3b0047?pvs=21),RESP-135
Generate Queries,Generate and manage data queries,UC-134: Query management,Clinical Data Manager (https://www.notion.so/Clinical-Data-Manager-2753dedf9856811c92eae7f83d3b0047?pvs=21),RESP-134
Program EDC Systems,Program electronic data capture systems,UC-136: EDC programming,Database Programmer (https://www.notion.so/Database-Programmer-2753dedf985681bf9097f3524bfaf7c0?pvs=21),RESP-136
Create Edit Checks,Create database edit checks,UC-137: Edit check builder,Database Programmer (https://www.notion.so/Database-Programmer-2753dedf985681bf9097f3524bfaf7c0?pvs=21),RESP-137
Develop Data Reports,Develop data management reports,UC-138: Report generator,Database Programmer (https://www.notion.so/Database-Programmer-2753dedf985681bf9097f3524bfaf7c0?pvs=21),RESP-138
Validate Databases,Validate database functionality,UC-139: Validation tools,Database Programmer (https://www.notion.so/Database-Programmer-2753dedf985681bf9097f3524bfaf7c0?pvs=21),RESP-139
Implement CDISC Standards,Implement CDISC data standards,UC-141: CDISC tools,Data Standards Specialist (https://www.notion.so/Data-Standards-Specialist-2753dedf9856814cb5a4d2af2f386865?pvs=21),RESP-141
Support Data Queries,Support data query resolution,UC-140: Query support,Database Programmer (https://www.notion.so/Database-Programmer-2753dedf985681bf9097f3524bfaf7c0?pvs=21),RESP-140
Map Data Domains,Map data to standard domains,UC-142: Domain mapper,Data Standards Specialist (https://www.notion.so/Data-Standards-Specialist-2753dedf9856814cb5a4d2af2f386865?pvs=21),RESP-142
Create SDTM Datasets,Create SDTM datasets,UC-143: SDTM generator,Data Standards Specialist (https://www.notion.so/Data-Standards-Specialist-2753dedf9856814cb5a4d2af2f386865?pvs=21),RESP-143
